stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,50.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.71,0,0,0,0,23.47,0,0,4.35,8.64,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0
 14-21,0,0.95,0,0,2.47,0,1.12,5.81,1.39,0,0,0,0,3.8,0,0,0
 24-34,0,0,0.67,0,0,0,0.96,9.06,0,0,0,0,0,1.11,0,0,0
 36-46,0,0,1.18,0,0.93,0,4.04,4.24,0,0,0,0,0,1.13,0,0,0
 48-58,0,0,12.92,0,0.55,0.44,0.67,1.6,0,0,0,0,0,0,0,0,0
 60-70,0,0,39.15,0,0,0,7.19,3.74,0,0,0,0,0,0,0.65,0,0
 72-82,0,0,34.36,3.91,0.84,0,8.72,15.82,0,3.04,0,0,0,0,0,0,0.72
 84-94,0,0,24.89,0,2.45,0,4.45,4.51,0,0,0,0,0,0,0,0,0
 96-106,0,0,22.65,0,0,0,4.19,3.67,0,0.57,0,0,0,0,2.66,0,0
108-118,0,0,27.23,0,0,0,4.61,6.19,0,0,0,0,1.48,0,11.36,0.86,0
120,0,0,42.66,1.92,0,0,2.13,14.49,0,0,0,0,0,0,0,0,0
