stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites
  3-4,0,77.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.84,295.88,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,6.81,0,0,0
  7-9,0,9.48,14.04,0,26.11,0,15.14,0,0,0,0,0,253.41,0,0,0,60.18,0,0,0,0
 10-12,0,4.94,23.81,0,42.32,0,3.61,0,0,0,0,0,154.03,0,0,0,72.42,0,3.64,0,0
 14-21,0,0,0,4.82,1.24,0.94,0,0,0,0,0,0,0.85,0,0,0,0,0,0,2.16,3.77
 24-34,0,0,0,0,3.19,0,0,0,0,0,2,0,0.95,0.75,0,1.12,0,0.77,0,0,0
 36-46,0,0,0,0.71,0,0,0,0.68,0,1.07,0,0.55,0,0,0,0,0,1.57,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0
 72-82,0,0,0,0,1.75,0,0,0,0,0,1.05,0,0.59,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0.66,0,0,0
108-118,0,0,0,0,0,0,0,0,1.02,0,0,0.76,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,13.09,0,1.61,0,0,3.64,1.94,0,0
