stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,98.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.63,104.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.23,0,0,0,0,0,0,0,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,15.29,3.58,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,40.11,4.42,0,0,41.36,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.83,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19,0,0.82,56.93,2.65,0,0.99,0,0,2.16,0,0,0,2.17,15.83,0,0,0,0
 24-34,0,0,0.67,1.92,0,0,13.88,0,0,0,2.43,0,0,0,0,0.63,0,0,0,0,7.42,0,2.22,255.25,0,3.11,0.74,0,0,0.76,0,0.62,0,0,76.24,0,1.64,0,2.6
 36-46,0,0,0,0,0,0,33.25,4.74,0,0,2.58,0,0,0,0,0,0,0,0.83,7.18,3.78,0,1.15,390.28,0,3.53,0,0,0,0.58,0,0,1.16,0,97.88,0,1.41,0,2.97
 48-58,0,0,1.21,4.16,2.56,0,138.78,2.98,0,0,19.29,1.54,0,0,0.49,0,0,0,7.88,2.32,15.16,0,0.39,599.24,4.92,4.09,0.54,0,0,3.91,0,0,0,0,101.64,0,1.83,0,2.37
 60-70,0,0,0.57,2.99,9.83,0,343.22,0,0,0,35.12,0.63,0,3.33,0,0,0.69,10.16,0.74,2.61,28.98,0.85,2.46,679.92,0.62,0,0,0,0,5.62,0,0.62,0,0,73.72,0,8.84,0,12.49
 72-82,0,0,0.87,5.76,0,0,398.07,0,0,1.44,22.98,0.57,0,0,0,2.73,0,0.74,0,1.79,23.66,1.94,1.44,572.53,0,6.31,2.37,0,0,1.18,0,1.97,0,0,48.34,0.5,6.06,0,16.52
 84-94,0,0,2.23,3.94,4.64,0,301.38,0,0.61,0,14.94,0.9,0,0,5.47,0,0,0,2.11,0,8.18,4.29,6.32,397.82,0,0.7,5.63,0,0,6.49,0,0,0,0,25.25,0,2.3,0.57,0
 96-106,0,0,2.5,1.54,0,0,266.13,0.71,0,0,7.23,0,0,0,4.97,0,6.92,0.84,0,1.66,10.36,1.06,0,273.71,0.81,2.57,2.73,0,0,7.58,0,0,0,0,14.5,0,5.42,0,0
108-118,0,0,1.18,1.77,0,7.36,182.39,0,0,1.29,13.87,0.48,0,0,0.91,1.41,0.51,1.36,4.06,0,14.23,0.62,2.62,358.08,0,2.58,1.4,0,1.49,0.89,0,0,0,0,5.35,0,1.51,0,1.56
120,0,0,0,17.65,0,0,160.38,0,0,0,59.77,10.93,0,0,4.51,2.36,0,0,0,0,10.22,0,1.18,498.61,0,0,4.35,0,0,0,0,0,0,0,36.08,0,0,0,0
