stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.5,0,0,10.52,0,0,0,0,0,0,0,0,0,85.87,0,0,20.58,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,26.24,0.92,10.79,0,0,0,0,0,0,11.86,0,2.06,9.66,0,0,0,0,0,0,1.08,2.18,3.51,0,0,0,0,0
 24-34,0,0,0,0.67,4.58,0,0,0,0,0,0,15.44,0,4.35,38.35,0,4.6,0,0,4.91,0,0,0,17.87,0,0,2.78,0,0
 36-46,0,0,0.71,0,2.12,0,1.62,0,0,0,0,6.59,0,10.14,96.89,3.42,2.23,0,0,2.21,11.33,0,0,54.19,0,0,0,0,0
 48-58,0,0,0,0,11.24,0.76,5.63,0,0.87,0.38,0,2.31,0,7.28,131.43,0,0.44,0,0,0.39,0,0,0,41.47,0,0,0,0,0
 60-70,0,0,0,0,24.91,0,2.75,0,0,0,0,8.55,0,2.95,191.48,0,0,0,0,8.07,0,0,0,82.81,0,0,1.15,0,0
 72-82,0,0,2.59,0,39.08,0,10.29,0,0,0,0,16.45,2.13,0,375.84,0,0,0,2.24,0.51,0,0,0,58.18,0,1.23,0,0.57,2.76
 84-94,0,0,1.51,0,31.38,0,10.38,0,0,1.81,0,25.82,0,0,289.4,0,1.69,0,0,1.31,0.97,0,0,52.75,0,1.95,0,0,0
 96-106,0,0,5.31,7.33,33.82,0,34.86,0,0,0.58,0,9.2,2.34,2.3,425.04,0,0,0,0,0.72,0,0,0,61.73,0,0.78,4.51,1.79,0
108-118,0,0,0.54,1.64,56.06,0,43.13,4.1,0,0.67,0,20.28,0,0.53,399.21,1.83,0,0,0,0.56,0,0,0,51.33,1.56,0,2.32,0,0
120,0,0,3.07,1.14,95.81,0,81.36,0,0,0,3.92,28.77,19.27,2.62,749.97,0,18.14,0,0,0,0,0,0,133.62,0,0,0,0,0
