stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,10.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.45,3.47,0,0,1.61,2.13,0,0,0,0,0,0,0,0
 24-34,4.02,1.43,0.67,0,0,1.12,0,0,0,0,0,0,0,0.99,0,0,0,0,0,173.7,3.27,0,0,0,0,0,1.13,40.91,0,0,0,0,0
 36-46,0,0,0,1.07,0,0,0.7,0,0,0.63,0,0,0,0,1.49,0,0,0,0,285.95,0.66,0,0,7.32,0,0,0,78.82,0,0,0,0,1.74
 48-58,0,0,0,2.14,0,8.03,0,0,0,3.26,0,0.77,0,0,2.52,0,2.08,0,0.44,296.6,1.36,0,0,0,0,0,0,60.55,0,0,0,0,2.58
 60-70,0,0,0,0,0,39.58,0,0,0,0,0,0,1.01,0,12.28,0,2.4,0,0,302.48,0,0,0,0,0,0,0,87.51,0,0,0,0,0
 72-82,0,0,0,0.54,6.82,105.27,0,0.5,1.32,10.2,0,0,0,0.63,18.76,0,2.16,0,1.81,404.93,0.91,0,0,0,0,0,0,150.18,0,0,2.55,0.96,0
 84-94,0,0,0,0,0.74,62.87,0,0,0,4.28,0,0,4.26,0,29.05,0,7.58,0,0.65,318.2,0,0,0,1.45,0,0.74,0,62.7,0,0,0,0,0
 96-106,0,0,0,3.11,0,102.87,0,0,0,54,0,1.56,2.91,0,31.78,8.88,13.27,0.59,0.77,402.5,1.05,0,0,3.86,0,0.6,0,53.61,1.26,3.24,7.7,0,0
108-118,0,0,0,3.62,1.41,208.87,0,0.91,0,27.74,0,0,0.82,0,25.25,5.09,7.15,0,0.6,471.42,1.14,4.96,0,1.33,0,1.03,0,49.49,2.03,0,1.49,0,0.52
120,0,0,0,3.38,0,134.88,0,0,4.21,62.97,2.51,0,1.93,0,4.76,0,9.53,0,0,835.23,0,0,0,3.36,0,0,0,65.85,0,0,0,0,0
