stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,10.27,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,0,0,0,0,3.47,0,0,0,0
 24-34,0,0,0,0,1.28,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.71,1.07,0,0,0,0,0,0,54.37,0,0,0,0
 36-46,0,0,0,0,1.48,0,6.43,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,572.38,0,0,0,0,0,0,0,65.24,0,0,0,0
 48-58,0,0,0,0,6.29,0,33.07,1.75,0,4.2,10.38,0,0,0,0.5,0,3.06,15.09,0,0,0.41,957.59,8.27,1.75,0.38,0,10.89,0,0,123.77,0,0.41,0,0
 60-70,0,0,0.57,0,1.86,0,231.79,0,0,0,21.59,0.99,0.67,2.52,0,0,0,13.86,0,0,1.69,1472.73,2.15,13.88,0,0,11.53,3.95,0,191.45,0,3.4,0,0
 72-82,0,0,0,0,2.48,5.68,520.18,0,0,0,30.83,2.23,3.06,0,0,2.73,0.57,28.47,0.88,0,1.03,1855.92,0,1.24,0,0,5.32,0,0,118.02,0,0,0.71,16.62
 84-94,0,0,0,0,15.72,0,556.01,0,0.8,0.69,56.87,0,0,4.65,0,3.75,0,5.95,0,0,0,1411.29,0,0,1.34,0,1.71,0,10.23,76.34,0,0.63,0,0
 96-106,0,0,0,0,15.32,0,454.72,0,0.79,4.71,48.9,1.56,0,0,0,0,0,16.5,0,1.02,1.47,1242.52,0,2,0.59,0,2.28,0,0.57,62.32,0,0,0,0
108-118,0,0,0,0.59,20.69,3.85,457.76,0,0,0,72.35,0,0,3.34,0,0,0,26.38,0,0,0.86,1967.1,0,0.43,0.87,0,1.13,0,0,55.65,3.01,0,0,7.91
120,0,0,0,0,25.55,0,591.37,0,0,0,87.66,1.62,1.91,11.09,1.76,0,0,37.19,0,18.76,0,3555.93,0,10.84,0,0,7.57,0,0,120.05,0,1.1,0,0
