stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.42,0,0,0,0,6.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,94.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,117.13,0,0,0,0,6.78,0,0,51.79,0,0,0,0,0
 24-34,0,0,0,0,57.17,0,13.83,0,2.52,0,0,0.67,2.27,0,2.23,0.63,0,2.83,0,0,10.24,0,0,0,852.61,0,0.6,0.61,0,32.17,0,1.1,293.49,0,0,0,0,0
 36-46,0,0,0,0,20.16,0,14.08,0.68,0,0,4.59,0,0,0,0,0,0,3.58,0,0,11.2,0,0,0,2813.13,0,0,0,0,50.01,0,0,261.66,0,0,5.14,0,0
 48-58,0,0,0,0,16.29,0,169.42,0,6.28,0.88,43.93,0,0.37,0.38,1.22,0,12.59,2.15,0,0,33.79,0,0,15.95,6089.49,0,0,0,0,51.56,1.46,0,379.3,0,0,4.01,0,18.61
 60-70,0,0,0,0,24.18,0,92.89,0,1.19,0.98,25.98,0,0,1.51,6.84,0,0,2.03,9.86,0,19.29,0,0,2.59,6064.74,0,0,1.12,0,48.19,0,0,437.09,0,0,0,0,23.02
 72-82,0,0,0,0,46.78,6.52,316.88,0,1.29,0.49,40.27,0.51,0,0.79,1.5,3.91,0,2.23,0.96,0,84.34,0,1.61,8.34,6553.02,0,0.97,0.5,0,31.62,0,0,360.83,3.08,0.99,3.9,2.02,17.97
 84-94,0,0,0,0,28.04,1.51,324.41,1.34,0.65,0,61.6,0.63,0,0.82,0.6,1.95,7.5,4.11,0,0,38.51,0,4.35,1.48,3308.69,0,0,1.62,0,124.24,2.39,0,267.8,1.17,0.58,18.64,7.26,0.87
 96-106,2.68,0,0,2.06,52.33,21.9,193.22,0,2.16,1.53,44.6,0,0,0,0.66,0.65,6.76,4.82,0.76,3.61,45.52,0,3.27,0,2732.12,0,0,0,10.25,85.3,1.36,0,37.46,1.74,4.5,3.71,1.78,1.26
108-118,0,0,1.11,0,27.66,8.57,139.19,0.63,0,0,16.62,2.86,0,0,1.77,5.76,1.24,1.52,1.88,0,24.33,0.71,2.79,5.06,4251.27,0.69,1.49,0,0,99.81,0.59,0,97.01,0,0,11.83,0,0
120,0,0,0,0,89.78,0,284.16,0,0,13.26,21.11,0,0,0,0,0,0,1.48,1.05,0,47.63,0,0,0,3858.51,1.17,3.73,2.94,0,74.61,1.13,0,9.62,0,1.54,2.66,0,3.17
