stage,axial,blastomeres,endocrine_pancreas,eye,fin_epithelia,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature,xanthophores
  3-4,16.36,716.27,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0
  5-6,0,339.57,0,0,0,8.74,0,0,18.17,15.57,0,0,0,0,0,0,0
  7-9,0,7.46,0,23.69,0,11.68,0,0,104.68,4.99,11.81,0,12.12,0,0,0,0
 10-12,0,16.1,0,0,0,3.83,0,0,43.92,3.12,22.19,0,9.34,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,1.23,0,0,0,0,0,0.85,0.81,0,0
 24-34,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,1.63,0
 36-46,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,3.46,0,0
 48-58,0,0,0,0.46,1.71,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.58,0,0,0.98,1.55,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.71,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.34,0,0,0,2.29,0,0,0,0,0,0,0,1.22,0
 96-106,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,5.99
