stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,37.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.68,43.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0
  7-9,18.72,29.46,0,28.26,0,0,0,19.51,0,0,0,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,143.6,9.06,0,0,27.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.9,0,62.92,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.48,21.46,0,0,128.86,0,0,5.55,0,33.43,0,0,0,0,0,0,0
 14-21,0,0,0,6.4,42.97,81.07,0,3.6,0,0,0,2.09,4.92,1.19,6.23,2.27,0.95,0,0,0,0,10.34,0,0,10.87,78.81,12.01,0,0.89,2.35,0,11.92,0,13.46,7.17,11.98,28.36,30.07,0,33.39,0,0
 24-34,0,0,0,0.59,3.78,13.64,0,10.97,0,0,0,3.95,1.28,0,45.24,4.75,46.17,0,0.85,1.42,0.62,12.42,2.11,0,4.74,196.39,3.53,2.21,4.2,0,0.99,6.8,0,0,0,0,1.88,42.78,0,543.85,0,0.69
 36-46,0,0,0,0,16.58,28.97,0,7.08,2.57,0,0,36.78,0,0,8.93,6.49,25.16,0,0,0,5.93,14.27,1.88,1.69,6.46,185.41,5.49,0,1.17,0,0,17.89,0,0,0,0,0,44.39,0,558.59,0,7.13
 48-58,0,0,0,0,3.55,0.98,0,33.97,0,0.41,0,79.46,0,0,14.93,7.44,3.52,0,1.34,0,4.79,14.01,2.19,0.84,2.34,192.17,0.52,0.48,2.85,0,0,6.44,0,0,0,0,0,44.06,0,550.14,0,8.61
 60-70,0,0,0,0,3.55,5,0,36.66,0,0,0,125.53,3.09,0,38.86,8.12,5.49,0,1.87,0,0,17.65,0,0,1.15,157.51,0,0.73,1.72,0,1.1,20.11,0,0,2.81,0,0,13.01,0,555.09,0,0
 72-82,0,0,3.27,0,2.01,3.83,0,79.49,0.82,0,0,84.96,3.41,0,14.58,4.01,1.97,0.55,0.65,0,7.06,70.91,1.16,7.18,1.37,113.44,2.62,1.28,9.03,0,0,5.04,0,0,0,0,0,11.4,0,816.99,0,4.23
 84-94,0,0,0,0,0.57,1.81,1.09,34.07,0,0.63,5.79,78.28,9.44,4.06,9.49,10.31,1.75,0.65,0,0.57,1.67,47.59,1.94,5.68,0.73,75.83,1.37,0,1.45,0,1.66,1.25,0,0,1.66,0,0,0,1.21,619.91,1.67,12.53
 96-106,0,0,2.08,0,3.26,7.51,1.85,116.51,0,1.32,5.03,60.27,5.42,0,12.47,9.07,1.59,0,2.26,2.09,2.91,51.62,0.59,0,0,93.16,1.37,3.6,8.59,0,0,11.01,0,0,0.9,0,0,1.34,7.49,828.55,0.89,2.82
108-118,0,0,1.21,0,2.31,1.34,2.59,51.91,0,0.61,3.4,39.68,10.39,0,5.02,6.68,1.9,0,1.19,4.07,5.38,40.77,2.33,0.69,3.14,67.58,0.51,1.31,7.24,0,3.03,2.52,0,0,2.86,0,0,2.03,8.39,550.29,0,0
120,0,0,12.05,0,26.53,0,0,12.05,0,0,0,79.47,10.43,0,0,29.52,0,0,0,0,5.34,48.64,0,9.27,0,164.53,0,3.8,8.3,0,0,4.33,0,1.12,0,0,0,41.75,0,726.27,0,0
