stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,0,80.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,71.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.52,7.41,0,0,14.78,0,0,0,0,103.74,0,0,74.76,0,0,0
 10-12,0,0,7.05,0,0,0,0,0,0,82.89,0,0,7.03,0,3.28,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,2.03,0
 24-34,0,0,0.62,0,0,0,0,0,0,1.28,0.7,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0.82,0
 48-58,0,0,0,0.61,0,0,1.06,0,0.49,2.35,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.76,0,0,0,0,0,1.32,0,0,0,0,0,1.24
120,0,0,0,0,0,0,10.4,0,0,27.82,0,5.36,0,0,0,0
