stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,48.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.58,11.15,7.77,0,0,0,38.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.97,9.75,0,0,66.08,0,3.78,11.11,0,0,0,0,0,0,0,0,0
 10-12,0,22.58,54.35,0,0,0,56.29,0,0,0,0,40.24,0,0,0,0,0,0,0,0,0,0,0,976.7,26.77,0,0,313.63,0,8.17,10.94,0,70.83,0,3.51,0,0,0,0,0
 14-21,0,0,12.29,151.79,21.42,0,43.68,0,0,5.8,7.62,0.91,0,0,1.15,0,0,0,0,29.91,0,0,32.11,338.44,22.81,5.23,0,10.07,0,12.45,0,47.82,2.8,40.76,113.89,0,0,5.71,0,0
 24-34,0,0,7.78,52.34,0.78,0,56.05,6.19,1.26,16.71,0.68,0,0,0,0,0.64,0.78,0,1.09,57.66,0,0,28.11,428.51,2.68,0,3.87,0,0,4.88,0,0.83,1.33,6.24,92.08,0,0,20.44,0,0
 36-46,0,0,0.63,26.11,0.58,0,42.19,0,6.4,16.68,1.24,0,0.73,0,0,0,0.56,0.78,0.61,42.03,0,0.8,15.6,351.09,3.43,1.99,1.55,0,0,4.23,0,0,0,0,64.34,0,0,10.57,0,2.86
 48-58,0,0,0,5.25,0,0,67.61,0.79,7.18,41.11,0.41,0,1.9,0,0.38,0,0,7.15,0,50.07,0,2.34,11.36,104.92,5.32,0,1.16,0,0,20.29,0,0,0,0,50.08,0,0,0.94,0,3.26
 60-70,0,0,0,3.36,0,0,98.77,1.58,2.67,53.58,3.5,0,0,0.92,0,4.25,0.59,0,0,105.01,0,0.6,5.01,98.94,0.65,1.65,4.01,0,0,29.89,0,0,1.54,0,11.8,0,0,3.81,0,6.3
 72-82,0,0,0,6.55,0,0,58.99,1.61,4.15,60.92,5.73,0,2.63,0.53,1.38,4.18,0,0,0,95.44,2.15,1.31,9.71,84.58,0,0.49,4.04,0,0,28.02,0,0,0,0,8.94,0.5,0,4.58,0,2.92
 84-94,0,0,0,26.28,6.72,0.73,97.93,9.92,1.69,66.41,4.67,0.6,1.44,1.81,0.94,0,0,2.42,0,112.5,0.61,2.93,4.7,70.72,2.97,0.81,9.16,0,0,54.79,0,0,0,0,7.11,0,3.73,7.44,2.69,5.83
 96-106,0,0,0,16.45,2.86,0,64.53,1.62,5.7,59.16,3.58,0,0,3.16,2.26,3.3,8.69,4.28,0,83.55,0,0,13.23,80.81,2.22,1.82,13.39,0,0,58.48,0,0,0,0,6.97,4.41,7.92,9.11,0,19.05
108-118,0,0,0.61,27.6,2.72,3.3,100.68,7.24,3.87,71.08,3.6,0,0.74,6.62,1.88,4.47,5.14,7.69,0,102.56,0,6,6.43,99.63,0,1.4,8.65,0,5.94,47.79,0,0,0.55,0,2.86,0,0.63,12.59,1.2,12.46
120,0,0,4.41,25.7,0,0,65.86,9.89,18.81,69.75,0,0,0,7.7,0,12.49,0,20.9,0,97.04,13.61,20.64,11.74,158.15,1.81,1.48,4.75,0,0,29.33,0,0,0,0,10.07,0,2.09,4.69,3.79,15.97
