stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,245.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.91,107.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.34,0,8.63,0,0,0,0,0,0,0,0,0,0,0,52.7,0,0,0,12.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,54.23,0,0,0,37.83,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,13.65,2.32,0,0,0,0,0,0,0,0,0,3.33,5.21,98.22,0,0,2.16,0,0,0,7.22,0.86,8.68,17.02,0,0,0
 24-34,0,0,0,0,10.2,0,0,0,4.41,0,0,0,0,0,19.49,2.65,231.33,0,0,1.04,0,0.83,0,0,0,3.08,29.73,0,4.99,0
 36-46,0,0,0,0.63,13.48,0,0,0,8.7,0,0,0,0,0,8.71,1.39,236.41,0,0,0,0,1.39,0,0,0,0,54.42,0,0,0
 48-58,0,0,0,0,32.42,0,0.39,0.44,29.79,0,0,0.43,0,3.02,6.1,3.52,184.98,0,0,0.54,0,1.11,0,0,0,0,32.42,0,0.39,0
 60-70,0,0,0,0.59,25.4,2.8,0,0,30.5,0,1.4,0,0,0,11.04,0.82,106.01,0,0,0,0,1.52,0,0,0,0,23.28,0,0,0
 72-82,0,0,0,1.37,17.1,0,0,0,16.95,0,0,0,0.95,0,17.06,2.56,111.94,0,0,3.16,0,0.51,1.65,0,0,0,3.44,0,1.82,0
 84-94,0,0,0,2.32,19.33,0.76,0,0,3.77,2.25,0,9.91,0,0,20.07,0,45.5,0.56,0,0.87,0,1.51,0,0,0,0,1.88,0,3.85,0.98
 96-106,0,0,0,0,18.78,0,0,0,13.24,0,0,0,0,0,14.1,0,67.04,0,0,0,0,0.65,0,0,0,0,1.76,0,0,0
108-118,0,0,0,0,20.54,0,0,0.6,8.39,0,0.55,0,0.69,0,6.59,0,69.01,0,1.5,0,0,0.67,0,0,0,0,0,1.21,1.34,0
120,0,0,0,16.92,51.17,0,0,3.89,41.42,0,0,0,9.93,0,32.18,7.46,85.31,0,0,2.34,0,18.3,0,0,0,0,0,0,0,0
