stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,45.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,30.05,0,0,8.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,27.19,0,9.39,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,61.06,0,0,8.88,0,0,0
 14-21,0,1,17.74,0,0,0,0,0,2.57,0,0,0,0,0,24.97,0.82,0,0
 24-34,0,0,5.33,0,0,0,0,0,1.68,0,0.69,0,1.32,0,48.86,0,0,2.41
 36-46,0,0,17.04,0,0,0,0,0,0,0,0,5.48,0,0,59.17,0,0,0
 48-58,0,0,17.73,0,7.28,0,0,0,0,0,1.19,8.11,0,0,27.32,0,0.72,0
 60-70,0,0,16.86,0,4.8,0,0.57,0,0,0.81,0,3.61,0,0,11.75,0,0,0
 72-82,0,0,10.23,2.95,1.04,0.56,0,0,0,2.35,0.88,4.86,0,0,32.07,0,0,0
 84-94,0,0,10.27,0,6.34,0,3.49,0,1.17,7.21,0,2.19,0,0,94.94,0,0,0
 96-106,0,0,17.53,0,7.19,3.07,0,0,0.58,2.03,4.01,2.77,0,0,96.86,0.58,0,1.38
108-118,0,0,17.47,0,7.46,0.52,0,0,0,3.12,4.12,5.38,0,0,80.32,0,3.93,0
120,0,0,32.76,0,7.23,0,0,3.57,0,0,0,0,0,0,28.59,0,0,0
