stage,eye,glial,lateral_line,mesenchyme,mural_cell,neural,olfactory
 14-21,0,1.25,0,0,0,0,0
 60-70,0,0,0,1.33,0,0,16.34
 96-106,0,0,1.11,9.52,0,0,0
108-118,0.56,0,0,0,0.74,5.61,0
