stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.56,7.17,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,26.56,5.45,0,0,13.14,0,0,17.29,0,0,0,0,0,0,0,0,0
 10-12,8.69,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,17.99,0.81,1,0,0,0,0,1.19,0,0,0,0,0,0,0,1.54,16.3,0,0,21.69,26.64,0,0,0.94,1.18,0,1.61,0,12.81,0.91,428.01,141.37,29.05,0,0,0,3.62
 24-34,0,0,0,0,6.02,4.92,3.5,128.57,0.59,0.76,2.38,0.66,0,0.79,0,0.63,0,0,1.14,0,11.56,0,2.87,60.91,103.66,0.7,0,0.67,0,3.82,15.93,0,1.55,0,312.29,123.12,22.17,0,1.02,0,0
 36-46,0,0,0,0,0.67,0.89,10.34,323.05,1.4,0,3.63,0,0,14.08,0,0,0,0,7.64,10.71,33.98,1.07,0,47.9,142.18,2.14,0,0,0,8.6,31.32,0,0,0,229.95,2.34,17.57,0,8.14,0,0
 48-58,0,0,0,1.29,11.59,2.83,40.74,129.12,0,0.42,6.81,0,0,0.87,0,0,0.51,0.5,0,0.59,37.74,0,1.6,26.87,121.63,2.02,0,0.81,0,5.19,3.07,0,0,0,114.11,0,22.86,0,0,0,6.89
 60-70,0,0,0.82,0,5.76,1.34,46.43,99.19,0,4.22,9.31,0,0,0.59,0,0,0,0,0,1.05,56.89,0,1.32,18.4,113.82,1.57,0.88,0,1.62,0,3.89,0,0,0,52.03,0,10.6,0,0,0,0
 72-82,0,0,0,0.89,1.29,1.53,60.89,55.98,0,2.16,13.05,0,0,0.55,0,0,0,1.06,0,0,33.95,0,3.67,7.06,67.54,0,0,4.71,0,0.83,4.41,0,0,0,23.49,0,16.72,0.87,9.07,2.94,0.67
 84-94,0,0,0,1.04,0,4.64,38.66,90.57,1.32,2.19,0.56,0,0,0,0.97,0,0,0,0,0,41.6,2.96,2.47,19.73,82.55,0.68,3.34,0,0,0,9.91,0,0,0,19.46,0,10.47,0,0,2.32,0
 96-106,0,0,0,0,4.65,21.57,48.88,99.19,2.28,11.24,1.44,0.74,0,0.93,0,0,0,0,1.58,0,43.55,0,1.7,14.11,65.16,1.35,1.2,3.63,1.2,2.69,18.06,0,0,0,31.93,0,7.24,4.58,0.68,0,5.78
108-118,0,0,0,0.91,13.36,4.34,35.59,106.08,2.68,1.81,3.98,0,0,5.51,2.11,1.13,2.21,0,2.21,0,42,0,8.86,25.98,57.75,1.35,1.49,2.38,0,3.32,7.37,0,0,1.15,26.6,0,3.35,8.17,4.89,1.78,5.57
120,0,0,0,1.28,22.85,1.26,27.56,109.78,0,1.26,40.3,0,0,1.85,0,0,0,0,0,0,68.52,0,4.55,48.84,131.9,0,0,0,0,4.48,8.15,0,0,0,14.22,0,0,2.85,2.77,10.54,0
