stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,596.4,12541.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.05,0,0,0,0,0,0,0,0,0,0
  5-6,1027.19,17840.63,0,23.04,0,0,0,0,0,0,0,0,26.54,0,0,0,0,0,0,0,0,0,0,0,563.45,80.52,0,0,206.35,0,352.04,0,0,0,0,0,0,0,0,0,0
  7-9,186.05,470.65,0,268.33,0,0,1016.48,0,0,0,0,0,159.53,0,0,0,0,0,0,0,0,0,0,0,13194.35,180.05,0,0,3437.34,0,49.18,12.94,0,0,0,0,0,0,0,0,0
 10-12,0,114.52,0,176.81,0,18.69,367.21,0,0,0,0,0,13.37,0,0,0,0,0,0,0,0,0,0,0,5353.06,141.69,0,0,1625.92,0,21.64,3.03,4.75,177.1,0,13.79,3.28,0,0,0,0
 14-21,0,0,0,33.99,245.68,173.22,10.04,0,0,0,29.23,11.34,0.95,5,0,1.04,0,0,0,0,142.1,0,0,238.53,359.8,6.01,3.03,4.63,13.55,0,6.79,0,224.03,34.2,39.86,349.13,193.01,0,0,115.91,0
 24-34,0,0,0.71,12.06,25.07,19.33,33.66,0,0.86,0,7.25,5.55,1.11,6.96,0,0,0,0,4.47,0,211.77,0,0,144.02,473.88,1.54,11.2,3.25,0,0,0,0,0,43.51,0,32.32,114.03,0,0,495.41,0.75
 36-46,0,0,0.73,0,5.95,9.45,103.51,0.68,0,3.25,12.92,0,0,1.9,0,0,0,0,8.09,4.51,176.21,1.5,3.39,66.75,564.6,2.62,12.16,0,0,0,0.74,0,0,32.2,0,0,91.93,0,0.85,315.21,8.72
 48-58,0,0,0.46,1.4,4.33,0,132.74,0,7.71,13,34.14,0.39,0,2.09,0,0,0,0.43,0,0,65.29,0,1.66,19.12,377.88,2.59,7.51,4.23,0,0,1.62,0,0,26.79,0,0,53.8,0,0,109.47,0.92
 60-70,0,0,0,0,0.6,0,190.97,0,3.81,0.85,32.67,0,0,1.85,0,0,0,0,3.3,0,28.74,0,0,10.41,420.57,0.93,9.61,4.55,0,0,4.91,0,0,7.33,0,0,38.69,2.18,0,54.07,0
 72-82,0,0,0,0,3.28,0,112.77,0,1.28,3.44,2.57,0,0,0,0,0,5.06,0,0,0,69.19,0,0,7.76,242.53,1.99,3.85,7.47,0,0,1.97,0,0,3.84,0,0,32.17,1.21,0,75.29,1.68
 84-94,0,0,0.84,1.01,14.5,0,134.05,0,3.28,25.65,5.91,0,0,0,0.57,0,0,1.82,0.83,0,87.36,0.71,2.23,3.43,180.05,0.6,17.35,2.04,0,0.77,4.21,0,0,2.62,0,0,23.62,0,0,60.85,3.76
 96-106,0,0,0,0,3.75,0,81.29,0,6.21,0.63,12.92,0,0,0,0,0,2.29,0.84,0,0,30.72,0,0,6.86,124.5,0,9.62,1.86,0,0,0,0,0,0,0,0,9.96,0,0,65.14,0
108-118,0,0,0,0,12.57,0,103.71,0,8.29,2.45,11.64,0.47,0,0,2.13,0,3.43,1.69,0,0,70.99,0,0.74,2.73,227.17,1.42,14.24,5.3,0,0,1.24,0,0,3.77,0,0,8.13,0,0.89,39.78,2.29
120,0,0,0,0,13.52,0,109.66,0,4.18,11.96,0,0,0,1.61,0,4.81,0,3.66,1.14,0,78.09,0,10.27,1.82,490.92,3.42,14.97,0,0,0,1.3,0,0,5.6,0,0,17.94,0,1.52,50.11,0
