stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.56,682.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,475.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.62,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0
  7-9,23.82,0,313.04,0,0,0,26.43,0,0,0,0,0,18.09,0,0,0,0,0,0,0,0,0,0,0,449.29,14.93,0,0,88.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.28,179.04,0,0,0,28.17,0,0,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,400.55,78.02,0,0,42.8,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,4.06,1.29,0,1.89,0,0,0,0,0,14.02,0,0,1.16,0,0,0,0,3.27,0,0,3.88,34.91,1.13,1.44,0,0,0,0,2.69,3.86,33.91,3.79,8.16,0,0,3.9,0,0
 24-34,0,0,0,2.85,1.11,0,10.06,6,0,0,1.23,0.78,0.66,5.83,0.69,0,0,0,0,0,6.56,0,0,3.69,48.97,0,0,3.88,0,0,12.54,0,0,115.42,7.41,14.51,0,0,1.86,0,2.59
 36-46,0,0,0,2.73,0,0,19.07,109.04,0,0.6,1.22,0,1.09,2.41,0.64,0,0,0,0,1.94,13.25,0,0,6.57,94.86,0,5.64,9.6,0,0,2.57,0.78,0,279.76,0,12.14,0,0,4.63,0,1.43
 48-58,0,0,0,5,0.43,0,46.24,286,1.49,0.88,12.45,0,1.97,5.82,0.42,7.23,0,0,4.15,20.95,15.48,0,0.66,18.05,151.6,2.41,0,2.89,0,0,3.16,0,0,367.05,0,41.76,0,0,3.53,0,2.69
 60-70,0,0,0,4.85,2.41,0,121.22,228.49,0,0,8.38,0,7.65,3.85,0,5.78,5.76,0,45.22,0,19.97,3.03,0,12.29,118.37,0,1.33,3.8,1.62,2.69,3.68,0,0,242.04,0,15.4,0,0,10.87,0,7.67
 72-82,0,0,0,8.23,26.18,0,142.08,134.5,1.57,2.08,11.13,3.47,2.16,6.64,5.87,0.63,0,0,285.17,0,52.97,1.59,1.12,17.73,124.88,0,0.88,8.78,0,4.65,5.11,0,0,107.93,0,15.9,0,5.45,16.48,2.74,22.02
 84-94,0,0,0,4.32,4.32,3.34,123.27,228.09,0.58,8.72,19.18,2.73,0,4.76,2.72,0.58,2.76,1.99,1123.7,12.11,33.58,0,0,4.84,126.51,1.84,1.17,9.7,0,1.68,21.78,0,0.67,203.34,0,6.39,0,1.38,17.04,0,2.44
 96-106,0,0,0,17.62,32.92,7.73,159.61,280.83,3.58,3.85,32.45,5.79,1.06,5.21,5.5,0,1.28,2.68,2188.64,0.77,78.05,8.13,3.94,9.16,403.34,0.58,5.93,7.28,0,2.25,29.7,1.7,0.63,186.71,0,2.71,6.32,4.09,16.7,6.07,19.82
108-118,0,0,1.34,17.69,22.11,15.77,139.08,231.34,0.45,6.31,40.05,3.07,0,7.9,2.18,0.48,2.77,1.37,4849.89,0.59,98.39,0,4.73,28.84,318.23,0.47,2.34,2.93,0,0.87,17.3,0,1.28,131.75,0,13.76,5.09,0,12.35,0.94,10.77
120,0,0,0,24.78,5.51,4.36,117.46,103.1,0,24.13,87.44,6.37,0,0,5.45,0,0,0,2235.21,0,83.51,0,6.41,36.74,288.38,0,7.34,4.18,0,0,3.52,0,0,68,0,16.47,0,0,8.11,0,0
