stage,eye,fast_muscle,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,5.4,0,0
 14-21,0,0,0,0,0,0,0.84,0,0,0,0,0
 24-34,0,0,0,0,1.53,1.22,5.11,0,0,0,1.54,0
 36-46,0,1.93,0,0,1.25,0,2.17,0,0,0,0,0
 48-58,0,0,0,0,0.44,0,1.64,0,0,0,0.64,0
 60-70,1.29,3.43,0,0,2.9,0,1.79,1.12,0.63,0,0,0
 72-82,4.75,0,10.21,0.79,6.28,0,6.53,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.17,0,0,0,1.9,0
 96-106,16.65,0,0,0,5.55,0.92,5.28,0,0,0,0,6.46
108-118,3.52,0,0,0,3.03,0,7.84,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.66,0,0,0
