stage,blastomeres,eye,mesenchyme,neural,pronephros,spinal_cord
  3-4,95.25,0,0,0,0,0
  5-6,24.19,0,0,0,0,0
 14-21,0,0,0,1.28,0.91,0
 36-46,0,0,0,9.95,0,9.97
 48-58,0,1.13,0,33.89,0,28.35
 60-70,0,1.61,0,26.67,0,39.76
 72-82,0,3.51,0,41.12,0,31
 84-94,0,2.11,0.97,27.49,0,30.54
 96-106,0,0.87,1.58,8.6,0,8.82
108-118,0,0,0.67,8.61,0,3.43
120,0,0,0,4.96,0,7.32
