stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,18.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.89,0,0,1.01,0,0,0,1.62,0,0,0,0,0,2.93,0,1.66,9.89,0,0,0,4.57,1.17,0.85,2.94,1.25,5.81,0,0,0
 24-34,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,1.63,0,0.68,36.67,0,0,0,0,0,0,0,0,7.62,0,0,0
 36-46,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0.86,6.33,0,0,42.71,0,0,0,0.89,0,0,0,0,6.75,0,3.81,0
 48-58,0,0.82,0,0,9.52,0,2.21,0,0,0,0,0,0.39,0,9.33,0,0.52,59.34,0,0,0,4.21,0,0.43,0,0,16.59,0,4.66,0.8
 60-70,0,1.71,0.74,0,45.99,0,0.67,0,0,0,0,0,0,0,1.61,0,0,61.09,0,3.12,0,5.05,0,0,1.34,0,12.17,0,0,0
 72-82,0,0,0.99,0,21.71,0,3.04,0,0,0,0,0.51,0,0,1.14,1.14,3.18,34.27,0,0,0,0,0,0,0,0,3.55,0,0,0
 84-94,0,3.67,0,0,16.47,0,2.11,0,0,0,0,0,0,0,4.38,0,0,56.81,0,0,0.71,2.05,0,0,0,0,4.3,0,0,0
 96-106,0,1.78,0,0,31.86,0,0,0,0,2.07,0.66,0,0,0,5.15,0,0,62.05,0.59,0,0.57,11.5,0,0.78,0,0,0,1.74,0,2.3
108-118,0,1.39,0,6.59,34.33,0.48,0,0.8,0,0,0,1.11,0,0,12.97,0,0,41.54,0,1.56,0,1.02,0,0,0,0,5.18,0,0,0
120,0,0,0,1.71,3.97,0,1.59,1.94,0,0,0,0,0,0,15.27,0,0,63.95,0,0,1.5,0,0,0,0,0,0,0,2.98,0
