stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.75,0,30.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,9.41,0,66.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,409.94,0,0,0,9.77,0,0,0,0,0,12.92,0,0,0,0,0,0,0,0,0,2853.23,11.01,0,0,39.56,0,111.26,0,20.62,0,0,5.32,0,0,0,0,0
 14-21,0,0,5.01,1376.13,1.22,0,1.08,0,0.95,0,1.19,1.45,0,1.92,0,71.22,0,0,23.12,5.01,0,12.48,17.59,11.16,0,0,0,0,784.59,0.85,8.02,1.01,0.87,4.92,0,0,0,0,0
 24-34,0,0,0.76,202.72,0.87,0,1.81,0,8.42,0,1,1.46,0,3.67,1.2,10.03,0,20.17,68.44,11.08,0,8.73,87.95,0,4.2,0,0,0,849.35,0,4.12,0,0.89,4.34,0,0,2.76,0,0
 36-46,0,0,0,125.62,0,0,0.7,0.65,33.77,0,5.71,4.35,0,8.38,0,0.56,0,0,69.83,3.23,0,3.29,48.91,0.58,2.62,0.96,0,0,486.76,0,2.59,0,0,1.78,0,0,5.26,0,0
 48-58,0,0,0,47.76,0,0,9.26,0.58,17.19,0.63,1.7,18.59,0,1.71,0,2.81,0,7.04,57.85,0,2.5,6.48,20.99,0.65,2.08,10.05,0,0,216.51,0,2.22,0,0,0,0,0,12.87,0,3.01
 60-70,0,0,0,83.9,0,0,24.89,0,31.44,0.63,5.72,58.97,0,0,0,0.93,3.19,2.03,85.74,0,5.46,0,26.87,0,8.22,5.56,0,1.65,190.04,0,1.98,0,0,0,1.44,2.19,15.66,0,3.77
 72-82,0,1.25,0,90.37,4.78,0,21.34,0,15.68,0.56,4.81,202.32,0,6.32,0,2.31,6.31,10.37,136.96,1.84,11.2,2.52,52.89,0,11.93,4.72,0,1.67,111.51,0,0,0,0,0,0,0,11.99,0,0
 84-94,0,0,0.6,196.78,0,0,11.6,0,29.91,0,17.27,429.25,0,0,0,10.31,1.02,60.64,134.33,3.38,9.3,0,43.87,0,14.07,7.17,0,0,211.68,0,1.9,0.73,0,0,2.26,1.24,19.12,3.29,8.71
 96-106,0,7.02,0.72,181.78,0.71,1.52,15.58,0,17.28,0,8.93,393.74,0,6.94,1.7,6.69,3.48,100.54,133.67,6.7,7.28,2.84,111.6,0,30.75,15.89,0,0,176.41,0,0,0,0,1.8,0.66,1.03,14.88,0,0
108-118,0,0,0.96,171.69,1.35,0,21.35,0,27.77,0.43,11.32,271.29,0,0,0.54,19.5,11.15,126.82,128.86,0.44,8.24,1.42,109.72,0,24.71,13.23,0,2.27,149.11,0,3.64,0,0,3.51,1.74,3.16,12.67,0,0
120,0,0,0,173.62,1.61,0,0,0,13.52,0,0,146.8,0,0,2.04,11.22,2.67,65.83,109.06,0,0,1.86,90.72,0,5.15,0,0,0,98.82,0,1.22,0,0,13.03,0,0,0,0,0
