stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,heart,melanocytes,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord,xanthophores
  3-4,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.29,1.57,0,0,0,1.3,0
 24-34,0,0,0,0,0,0,0,0,0,0.73,78.22,1.46,0,0,1.26,14.31,0
 36-46,0,0,0,0,9.37,0,1.22,0,0,0,277.99,0.66,0,0,0,55.18,0
 48-58,0,0.55,0,0,30.95,0,2.13,0.49,0,2.57,394.71,0.87,0,0,0,65.97,4.63
 60-70,0,9.7,0,0,131.07,0,0.73,0,0,1.33,714.63,1.19,0,0,0,84.64,0
 72-82,0,1.63,0.67,0,217.66,0,9.6,0,0,5.89,541.71,3.24,3.53,0,0,67.5,0
 84-94,0,0,0,0,174.39,0,5.29,0,5.31,0,451.09,0,0,0,0,22.14,0
 96-106,0,5.03,0,0,235.93,0,6.75,0,0,8.48,413.38,2.04,0,1.13,0,12.94,0
108-118,0,4.13,0,0.64,133.13,1.36,6.8,0,0,0,477.67,3.96,0.78,0.45,0,19.53,0
120,0,7.2,0,0,167.62,0,22.64,0,0,0,720.21,2,0,4.34,0,25.3,0
