stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,21.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.36,0,0,0,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.54,0,4.07,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,102.86,0,0,0,28.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,9.1,8.9,0,81.24,0,0,0,9.29,0,0,1.99,0,0.81,0,0,0,0,17.83,0,6.87,315.57,8.81,4.81,1.07,1.59,0,0,1.38,10.8,0,2.11,35.31,72.55,0,0,6.22,0,0
 24-34,0.88,0,0.81,2.33,6.34,1.39,0,220.9,0,0.78,0,42.76,0,0,15.74,0,1.32,4.08,0,1.73,1.94,45.6,2.43,20.91,1399.21,8.02,8.61,4.26,0,0,7.47,0,0,1.38,0,26.85,299.35,0,0,47.7,0,0
 36-46,0,0,0,0,9.72,2.92,0,660.49,0.68,0.56,0.58,245.68,0,0,6.33,0,0,0,0,0,0,41.72,1.92,14.89,2582.3,11.59,20.44,5.1,0,0.97,3.05,0,0,0,1.67,1.88,552.69,0,0,75.23,0,0
 48-58,0,0,0,0,17.9,12.53,0,1375.1,0.58,4.59,1.46,662.48,0,0,6.44,2.47,0.48,8.8,0,0,0,75.13,4.04,41.3,3213.52,10.3,5.36,6.27,3.66,0,6.94,0,0,0,1.46,0,672.07,0,0.37,57.63,0,11.02
 60-70,0,0,0,0,25,0,0,2083.11,3.17,0.81,2.48,863.15,0,0,2.06,4.13,0,0,0.77,2.6,0.88,108.99,0.7,23.91,2807.8,0,5.03,11.75,0,0,4.24,0,0,1.72,0,0,442.66,0,0.99,65.19,0,4.38
 72-82,0,0,0,0.56,14.19,2.65,0,1710.43,6.46,2.1,2.73,910.73,0,0,6.68,0,0,0.96,2.26,0.59,2.93,76.6,6.41,18.18,2407.63,0,5.61,12.48,0,0,3.92,0,0,0,0,0,243.05,4.82,2.03,116.81,1.27,5.15
 84-94,0,0,1.29,0,24.66,0,0,1187.05,3.49,0.6,0,672.88,1.39,0,7,0.73,1.1,10.1,1.23,0.6,0,58.15,1.77,24.13,1378.04,0,10.71,23.05,0,0,4.57,0,0,0,0.63,0,175.51,2.19,1.64,96.1,2.2,9.8
 96-106,2.68,0,0,0,19.64,0.78,0,872.45,1.64,2,3.1,759.44,0,0,5.36,6.48,1.54,1.5,5.18,12.74,0,55.9,2.5,3.54,1181.28,0,3.75,14.89,0,0,6.39,0,0,0.69,0.57,0,91.19,4.49,3.08,132.87,5.63,7.77
108-118,0,0,0.54,0,24.9,3.08,0,801.67,7.03,0,0.68,859.18,5.85,0,1.1,4.72,1.19,7.54,2.06,2.9,0,67.08,4.58,8.97,1285.55,2.44,11.77,9.42,0,0,10.6,0,0,0.43,0,0,42.96,2.07,0.92,120.88,4.93,0.89
120,0,0,2.96,0,32.98,4.92,1.89,1463.13,3.11,4.35,0,1854.91,10.58,0,0,3.77,0,1.91,5.21,0,0,104.84,0,9.85,2515.22,0,8.26,2.74,0,0,2.32,0,0,0,0,0,134.19,5.13,6.76,266.44,0,23.13
