stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,132.84,2628.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.39,0,0,0,0,0,0,0,0,0,0
  5-6,161.84,3692.63,0,10.71,0,0,0,0,0,0,0,34.08,0,0,0,0,0,0,0,0,0,0,0,246.99,0,0,0,65.7,0,59.93,0,0,0,0,0,0,0,0,0,0
  7-9,44.22,49.92,0,88.66,0,0,177.78,0,0,0,0,27.49,0,0,0,0,0,0,0,0,0,0,0,1392.42,35.96,0,0,414.43,0,0,26.9,0,0,0,0,0,0,0,0,0
 10-12,0,13.62,0,64.3,0,0,89.97,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,923.24,14.51,0,0,313.38,0,0,9.34,0,63.54,0,0,0,0,0,0,0
 14-21,0,0,0,0,25.99,2.6,13.66,0,0,3.66,2.1,0,0,0,1.35,0,0,0,0,11.74,0,0,7.97,283.07,6.3,1.19,2.83,5.14,0,1.51,0.9,34.55,3.2,16.34,69.17,0,0,1.01,0,0
 24-34,0,0,0,0.59,4.97,1.69,42.52,0,0,10.71,1.01,0,0,0,0,0.82,0,0,0,35.1,0,0,9.52,518.05,0.62,4.86,4.65,0,0,3.09,0,0,0,2.11,78.53,0,0,12.24,0,1.72
 36-46,0,0,0,0,1.78,0,70.98,0,0,17.7,0,0,0,0,6.5,0,0,1.5,1.33,19.54,0,1.62,3.55,197.76,0,1.82,4.21,0,0,11.4,0,0,0,0,34.72,0,0,1.18,0,0
 48-58,0.58,0,0,0,1.47,0,70.95,5.35,0.5,7.64,0,0,0,0,0,0,1.13,4.01,0,24.05,0,11.8,4.7,169.16,0,0,0.41,0,0,0.8,0,0,0,0,41.15,0,0,1.81,0.9,0.54
 60-70,0,0,0,0,1.94,0,99.08,0.7,0,15.56,0,0,0,0,0,0,1.57,0,0,52.9,0,0,4.3,149.69,6.77,9.76,0,0,0,11.71,0,0,0,0,27.86,0,0,3.83,0,0.91
 72-82,0,0,0,0,1.63,0,60.42,0,1.85,23.09,1.43,0,2.3,2.97,0,0,0.65,0,0,38.66,0,0.77,4.43,145.27,0,2.64,0,0,0,0,0,0,0,0,24.72,0,1.56,1.21,0.53,0
 84-94,0,0,2.46,0,7.73,0,33.44,0,0,12.95,1.66,0,0,1.51,0.55,0,0,0,0,27.01,0.61,3.01,5.13,70.7,0,2.47,4.23,0,0,9.65,0,0,0,0,6.72,2.09,0,1.53,1.56,0
 96-106,0,0,0,0,5.52,0,27.93,0,1.11,8.22,3.84,0,0.58,0,0,0,0,0,0,17.97,2.71,0.75,5.47,69.05,0,0,0.63,0,1.11,9.11,0,0,1.33,0,4.99,0,3.4,9.03,1.16,0
108-118,0,0,0,0,3.7,0,15.18,0.43,0.65,12.37,0,0,0,2.33,0.44,0.78,1.1,0.9,0.66,25.84,0,0.51,3.56,71.02,0,0.54,1.92,0,0,8.82,0,0,0,0,1.09,0.42,1.53,3.76,1.09,0.74
120,1.19,0,0,0,3.92,0,11.71,0,1.49,6.14,1.09,0,0,0,1.06,1.11,0,0,0,25.36,0,0,5.08,55.84,0,1.11,0,0,0,3.77,0,0,2.05,0,1.64,0,0,1.09,0,0
