stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,4.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,170.5,0,0,0,19.36,0,0,6.98,0,0,0,0,0
 14-21,0,0,21.35,10.49,4.28,20.52,0,0,0,0,1.15,0,5.28,0.89,552.45,0,0,9.98,9.64,0,0.91,337.25,0.8,294.12,0,0,0
 24-34,0,0,7.8,1.5,6.45,26.42,6.99,0,0,0.91,3.7,0.85,5.33,5.63,160.99,0.7,0.75,18.85,0,0,0,406.66,0,92.62,0,0,0
 36-46,0,0.85,0.6,0.61,4.85,23.7,1.34,0,0.68,0,9.97,0,0.63,0,86.75,2.06,0,8.93,0,2.33,0,196.99,0,55.56,0,0,0
 48-58,0,0.68,0,0,3.9,11.67,0,0,0,2.02,8.54,0,9.89,0,12.6,0,0,3.08,0,0,0,118.45,0,14.37,0,0.47,0
 60-70,0,0.82,0,0,6.72,7.59,0,0,0,5.42,1.78,0,8.34,0,12.13,0,0,15.12,0,3.81,0,76.22,0,3,0,0,0
 72-82,0,1.88,0.62,0,22.52,1.52,3.43,0,0,19.83,0,0,28.05,0,9.12,0,0,74.48,0,0,0,85.49,0,6.47,0,0,0
 84-94,0,1.59,0.8,0,3.56,0.98,0.64,0,0,23.63,0,0,27.92,0,12.32,0,0,96.07,0,0.81,0,179.76,0,0.75,0,0,0
 96-106,0,3.16,4.54,6.18,12.02,7.1,4.47,0.7,0,61.92,1.62,0,3.62,0,14.42,0,0,150.96,0,6.28,0,177.54,0,3.56,0,0,0
108-118,0,1.44,1.56,1.88,4.43,1.16,2.89,0,0,37.48,1.41,0,17.85,0,30.59,0,0,145.75,0,3.64,0,153.55,0,8.65,1.11,0,1.55
120,0,0,0,1.66,11.98,0,7.15,0,0,46.92,0,0,10.41,0,34.46,0,0,103.52,0,0,0,78.08,0,0,4.55,0,0
