stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,5.15,0,77.8,0,0,0,12.63,0,0,0,0,0,0
 14-21,0,0,0,7.72,0,0.82,0,0,0,0,0,0,0,0,0,123.79,0,82.66,20.94,0,0,7.65,0,0,10.76,0,19.83,4.3,0,0,0,0
 24-34,0,0,6.49,0,0,0.68,1.2,1.83,3.89,0,1.69,0,0,0.85,0,361.19,0,108.53,86.4,1.43,0,0,0,8.59,0,0,9.39,3.81,0,0,0,0.93
 36-46,0,0,0,1.87,0,0.95,0,8.21,10.23,0,0,0,0,0,0,286.27,0.57,66.68,72.03,2.06,0,0,0,6.76,0,0,0,5.05,0,0,0,0
 48-58,0,0,6.95,1.97,0,27.99,0,8.18,32.17,0,0,0.63,0,0.83,0,287.61,0.54,49.43,186.18,0,0,0,0.59,0,0,2.74,0,4.23,0,0,0,0
 60-70,0,0,2.19,6.01,0,35.52,0.93,13.06,42.79,4.72,0,0.79,0,0,1.2,484.38,9.64,47.84,104.47,0,0,0,0,3.71,0,0,0,2.31,0.69,0,0,0
 72-82,0,0,0.88,0.5,0,33.04,0,9.15,35.98,2.04,0,0.55,0,0,0,500.83,13.19,20.71,42.58,0,0,0,0,1.91,0,0,0,5.29,3.96,0.5,3.82,8.11
 84-94,0,0,0,0,0,32.79,0,0.91,37.92,1.29,0,0,0,1.06,0,572.46,2.05,31.48,8.83,0,0.79,0,0,0,0,0,0,1.39,3.93,0,1.16,0
 96-106,0,0,0.65,0,0.59,26.2,0,0,9.95,1,0,0,0,0,9.56,336.02,0,7.78,28.63,0,0,0,3.1,0,0,0,0,0,0.77,0,1.37,0
108-118,0,0,0,7.22,0,10.79,0,1.76,24.02,3.05,0,0,0.95,0,0,400.7,4.24,15.29,26.83,0,0,0,0,0.47,0,0,0,0.98,4.97,0,3.17,0
120,0,0,3.86,0,0,8.6,0,0,58.4,5.93,0,0,0,0,5.66,572.56,3.51,19.29,48.43,0,0,0,0,0,0,0,0,4.36,3.24,0,0,0
