stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0
 10-12,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0.97,0,0,0,0,5.18,0,0,0,0,0,0,4.5,0,0,22.43,0,0,0,0,0,3.29,2.37,0,0,0,0,0
 24-34,0,0,0,4.59,0,0,2,0,14.03,0,0,0.68,0,0,0,9.98,0,1.36,113.31,2.29,8.87,0,0,0,1.14,20.02,0,0,0,0,4.55
 36-46,0,0,0,1.3,0,0,1.55,0,0,0,0.74,0,0,0,0,2.8,0,0,198.36,3.41,3.71,0,0,0,0,70.86,0,0,0,0,7.99
 48-58,0,0,0,0.68,0,0,57.15,0,3.8,0,6.46,0,0,0,0,11.66,0,0,405.78,1.31,20.5,0,1.08,0,0,81.61,0,0,0.76,0,0
 60-70,0,0,0,6.54,0,0,376.59,1.99,0.61,0,8.96,0,0,0,0,47.55,0,0,528.44,0,2.48,0,0,0,0,47.15,0,0.94,0.92,0,6.62
 72-82,0,0.79,0,5.14,0,0,1194.32,0,0,0.82,22.13,0,0,0,0.56,70.23,0,0,776.5,0,24.85,0,1.2,0,0,51.03,0,0.75,4.79,4.65,0.63
 84-94,0,0,0,5.18,0,0,727.1,0,0.91,0,17.05,0,0.68,0,0,76.77,0,2.03,483.51,0,9.15,0,0.73,0,0,19.89,0,1.92,0.66,0.57,2.11
 96-106,0,0,0,3.47,0.73,0,1139.26,3.63,0,0,33.51,0,0,0,0,50.57,1.03,0,462.8,0,49.42,0,1.42,0,0,22.96,0,0,1.1,2.54,10.23
108-118,0,0,0,16.09,7.98,0,1083.85,0,0,2.66,21.46,1.17,0,0.53,0,40.03,0,8.52,436.59,0,34.9,0,4.61,0,0,12.89,0.71,0,0,5.3,0
120,0,0,0,0,0,1.71,357.37,0,5.81,0,65.05,0,0,0,0,42.17,0,4.94,881.29,0,43.29,0,0,3.15,0,39.43,0,0,0,0,0
