stage,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,5.04,4.32,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.84,2.62,1.05,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.84,0,0,0,6.11,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0
 48-58,0,1.57,0,0.8,0,0,0,0,0.51,2.09,0,0,0,0,0,1.91,0,0
 60-70,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.8
 72-82,0,0,5.69,0,0,0,1.14,23.06,0,5.5,0,0,0,0,0,0,0.77,11.43
 84-94,0,3.65,0,0,0,0.64,1.58,35.53,0,2.75,0,0,0,0,0,0,0,20.44
 96-106,0,3.55,0,0,0.67,9.59,0.78,26.21,0,12.89,0,0,0,0,0,0,0,31.33
108-118,0,6.29,0,0,0,15.66,2.13,14.67,0,0,0,1.19,0,0,0,0,0,8.18
120,1.18,18.94,0,0,0,24.1,2.02,69.51,0,14.29,0,0,0,0,0,0,0,8.2
