stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.01,60.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,53.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0,0,20.62,5.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,4.19,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.25,4.15,0,0,0,0,0,0,0,0.95,0,0,0,0,0,1.87,13.44,5.1,1,0,0,2.23,2.68,1.01,1.68,3.8,0,0,0,0
 24-34,0,0,0,0,0,0,4.16,0,0,0,0,0,0.65,0,0,0.66,0.78,3.78,1.01,39.95,0,0,0,0,7.61,0,0,1.35,10.81,0,2.46,0,0
 36-46,0,0,0,0,1.63,0,3.95,0,0,0,0,0,0,0,0,0,0.61,3.52,0,33.26,0.57,0,0,0,0.69,0,3.31,0,11.32,0,4.22,0,0
 48-58,0,0,0,0,0,0,17.71,0,0.38,11.78,0.41,0,0.4,0.39,0,0,0,7.52,0.38,60.17,0,1,2.05,0,0,0,0,0,9.15,0,0,0,1.72
 60-70,0,0,0,0,0,0,13.04,0,0,23.06,0,0,0,0,0,0,0,3.43,1.13,38.3,0,0,0,0,1.86,0,0,0,3.14,0,0,0,2.83
 72-82,0,0,0,0,0,0,29.64,0,1.25,22.29,0,0,0,0,0.79,0,0,3.41,0,62.28,0,0,0,0,0,0,0.55,0,5.29,0,2.38,1.07,0
 84-94,0,0,0,0,0.82,4.78,42.78,0,0,3.49,0,0,0,0.62,0,0,0.68,7.54,0,54.21,0,0,0,0,6.48,0,0.76,0,1.44,0,0,0,0
 96-106,0,0,0,0,3.81,0,10.58,0,0,4.47,0,1.73,1.83,1.14,0.62,0,0.68,3.55,1.18,42.3,0,0,0,0,3.33,0,0,0,1.13,0,0,0,4.52
108-118,0,0,1.11,0,1.75,1.28,40.7,0.62,0,7.18,0,0,0,1.37,0,0.52,2.1,9.15,1.46,21.99,0,0,0.62,0,4.94,0,0,0,0,3.03,0.45,0,0
120,0,0,0,0,1.86,1.1,13.32,0,1.85,2.85,0,6.39,0,0,0,0,0,0,0,88.41,0,0,3.14,0,9.98,0,0,0,8.98,0,1.46,0,0
