stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,9.67,434.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.08,0,0,0,0,0,0,0
  5-6,30.64,676.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.48,12.82,20.04,0,0,17.4,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,399.91,0,0,0,108.88,0,0,0,0,0,0,0,0
 10-12,0,17.43,6.03,0,0,17.65,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,318.15,0,0,0,134.05,0,0,7.65,0,3.28,0,0,0
 14-21,0,0,4.83,19.8,0,6.3,0,0,5.28,0,0,1.22,0,0.8,0,0,0,11.91,0,10.29,267.65,4.53,2.22,1.12,0.83,2.51,3.79,0,7.4,79.78,0,2.31,0
 24-34,0,0,2.79,8.75,0.74,65.35,0,0,11.06,0,0,4.45,1.56,0,0.7,1.64,0,49.72,0.69,23.21,894.33,0.87,8.75,4.46,0,1.48,0,0.91,0.59,202.4,0,18.47,0
 36-46,0,0,0,15.16,0,156.76,0,0,12.12,0,0,1.68,0,0,0,0.57,1.74,59.73,1.94,9.05,535.32,0.72,5.6,0.62,0,14.64,0,0,0,126.31,0,2.22,0
 48-58,0,0,0,1.75,0.45,246.21,0.74,0,27.27,0,0,0,0,0,0,0.38,0,50.52,1.35,5.14,254.37,0,0,0.4,0,3.54,0,0,0,39.77,0,2.58,0.38
 60-70,0,0,0,4.1,0,98.42,0,0,6.91,0,0,0,2.45,0,0,2.2,0,22.46,2.2,3.14,143.47,0,0,0,0,0,0,0,0,4.02,0,4.81,0
 72-82,0,0,0,3.65,0,79.84,0,2.1,15.99,0.63,0,0.55,0,0,0.67,0,0,37.76,4.02,7.74,126.28,0,0.93,0,0,0,0,0,0,0,0,7.54,0
 84-94,0,0,0,5.82,0,78.88,0,0,7.78,1.94,0,0,0,0,0.66,0,0,15.32,2.68,6.45,125.56,0,0.8,1.51,0,4.75,0,0,0,3.95,4.24,21.78,8.7
 96-106,0,0,0,3.12,0,47.11,0,0,14.53,5.4,0,0,1,0,2.96,0,0,26.21,0.68,3.27,77.99,0,1.2,1.13,0,0,0,0,0,0,0,1.55,0
108-118,0,0,0,3.95,0.42,72.43,0,0,17.49,0.61,0,0,0.54,0,0.44,0.91,0,20.06,0,6.2,83.98,0,0.99,1.2,0,0,0,0,0,0.95,2.51,0,0
120,0,0,0,0,0,69.74,0,0,3.27,0,0,0,0,0,0,0,0,21.92,0,0,103.1,0,0,0,0,0,0,0,0,0,0,1.46,0
