stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.18,475.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,258.48,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,10.2,0,0,0,11.11,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,17.13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,50.71,24.22,0,34.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,69.1,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.15,41.2,0,97.7,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.05,5.03,0,0,1.36,0,0,0,2.88,0,0,0,0,18.42,11.2,0,8.78,24.78,0.89,0,0,0,17.94,6.26,23.62,13.73,0,0,0,0,0
 24-34,0,0,0,0.59,0,0,0,0.8,0,0,1.48,0.69,0,0,0,0,24.92,4.02,0,0,17.44,0.69,0,0,0,0,86.47,2.18,4.44,0,0,1.57,0,0
 36-46,0,0,0,0,0,0,0,7.3,0,0,0.67,0.58,0,0,0,0,28.36,3.63,0,1.48,12.88,0,0,0,0,0,123.6,0,4.02,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,12.06,0,0,1.1,4.14,0,0,0,0,41.3,1.43,0,0,17.55,0,0,0,0,0,53.54,0,0.46,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,21.45,0,0,8.35,4.48,0,5.21,0,0,44.46,3.97,0,0,7.34,0,0,0,0,0,55.08,0,3.88,0,0,0,0,0
 72-82,0,0,3.46,0,5.85,0,0,46.35,0,0,11.15,12.32,0,0.63,0,0,84.83,13.2,1.59,0,23.25,0,0,0,5.32,0,84.04,0,1.77,0,0,0,0.53,8.48
 84-94,0,0,2.61,0,0,0,2.42,21.68,0.75,0,7.86,23.07,0,0.8,0,0,294.32,23.02,0,1.76,12.08,0,0.79,0,5.49,0,177.32,0,0,0,0,0,0,0
 96-106,0,0,3.61,0,2.02,3.31,6.95,26.78,0,0.58,29.54,44.69,0,0.8,1.2,0,414.34,24.33,0,0,95.75,0,0.65,0,5.9,0,191,0,0.67,0,0.78,2.28,0.85,10.89
108-118,0,0,7.36,0,1.57,4,8.12,22.59,0,0,15.26,34.61,0,2.78,0,0.69,600.17,2.75,0,2.1,67.58,0.54,0,0,4.26,0,187.97,0,0,1.87,0,3.85,0,0
120,0,0,0,3.17,0,1.64,6.42,35.31,0,0,53.21,21.64,0,3.66,0,0,218.5,26.63,0,0,21.21,0,0,0,1.36,0,82.57,0,6.92,0,0,2.17,2.31,0
