stage,axial,epidermis,eye,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,21.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.87,0,0,0,0
 10-12,0,0,0,0,0,0,4.69,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,112.33,0,0,0,0.53,0
 60-70,0,0,0,0,0,0,26.6,0,0,0,0,0
 72-82,0,1.03,43.56,0,0,1.78,450.95,0,0,0,6.39,0
 84-94,0,0,63.51,0,0,0,96.05,0,0,0,0,6.16
 96-106,0,16.38,122.4,0.93,0,0,57.55,0,0,19.08,10.49,18.19
108-118,0,1.35,54.46,0,1.38,0,58.72,0,5.04,0,6.76,0
120,0,0,73.1,0,0,0,212.54,0,0,0,0,0
