stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.69,92.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0
  5-6,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.95,0,0,0,1.2,0,0,0,0,0,0,0,7.66,0,0,0,0,0.92,2,0,0,0,0
 24-34,0,0,0,0,1.36,0,0.81,0,0.9,0,0,0,0.65,2.5,0,0,42.16,0,0,0,5.01,0,3.33,0,0,3.97,0
 36-46,0,0,0,0,0,11.42,0,0,0,0,0,0,0,1.74,0,0,46.34,0.56,0,0,0,0,9.59,0,0,6.46,0
 48-58,0,0,0,1.77,0,24.49,1.88,0,2.08,0,0,1.34,0,11.55,0,1.89,25.79,2.54,0,0,0,0,10.2,0,0,7.99,0
 60-70,0,0,0,1.54,0,15.37,3.02,0,1.92,0,0,0.65,0,11.82,0.96,0,5.72,0,0.91,2.16,0,0,2.57,0,0,3.46,4.96
 72-82,0,0,0,0,0,12.01,0.62,0,10.17,0,0,0,0,8.79,0,0,12.34,0,1.21,3.01,1.2,0,0,1.48,0.52,3.86,0.84
 84-94,0,0,0,0,2.86,12.71,0.58,6.89,6.67,0,4.04,0.56,0,9.23,1,2.27,5.12,0,4.71,0,0.68,0,0,0,0,0,5.08
 96-106,0,0,1.23,0.56,0,20.23,0,0,14.5,0,0,0.93,0,7.59,0,0,2.47,0,2.65,0,0.73,0,0,0,0,0,9.38
108-118,0,0,0,0,0.59,7.22,0,0,2.42,2.97,0,0,0.6,14.41,0,1.41,4.07,0,0.73,3.67,0,0,5.72,0,0,0,1.83
120,0,0,0,0,0,5.56,0,0,0,0,0,0,0,4.04,0,0,1.15,0,0,0,0,0,0,0,0,0,3.81
