stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,2901.4,53624.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416.67,0,0,0,0,0,0,0
  5-6,3654.76,39971.5,38.64,0,0,0,0,0,67.5,0,0,0,1344.69,212.75,0,0,267.68,760.56,0,0,0,0,0,0,0
  7-9,436.92,435.45,377.07,0,0,664.4,0,0,256.25,0,0,0,9792.79,377.28,0,0,3733.43,36.18,278.99,0,12.83,0,0,0,0
 10-12,0,54.03,55.51,0,4.95,152.39,0,0,17.74,0,0,0,849.05,47.08,0,0,476.51,0,77.01,4.19,68.13,0,0,0,0
 14-21,0,0,2.79,18.11,2.17,3.45,4.92,0.85,0,4.12,7.89,18.36,91.26,40.11,1.16,0.97,1.79,3.1,9.9,55.68,1.82,8.15,47.28,57.85,3.79
 24-34,0,0,0,0,0,0,0,0,0,2.8,1.72,2.58,0.88,0.6,0,0,0,5.4,0.86,0,0,1.76,0.68,0.84,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.21,0,0.87,0,0,0,0,7.91,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.95,0,0,0,0,0,3.19,0,2.54,0,0,1.04,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,2.12,0,0.83,0,0,0,0,4.14,0,0,0,0,0,0.79,0
 96-106,0,0,0,0,0,3.81,4.28,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
