stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.39,0,0,0,0,0,4.24,0,0,0,0,3.75,0,0,0,0,0,0,0,0,36.23,0,0,13.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.82,8.3,2.65,0.96,0,1.13,0,0,5.49,0,0,0,0,0,0,0,1.34,0,1.56,48.34,0,0,3.97,0,0,0,1.2,35.05,0,0,0,0,0
 24-34,0,7.75,0,0.77,0.67,0,0,0,0,0.87,0,0,0,0,0,0,2.38,0,0,0,99.33,5.58,0,0,5.19,0,0,0,82.01,0,0,0,0,5.87
 36-46,0,2.77,0,0.57,0,0,3.17,0,0,0.83,0,0,0,0,0,0,1.74,0,0,0,116.08,2.94,0,0,0,0,0,0,54.51,0,0,0,0,0.9
 48-58,0,1.71,0,1.38,0,0,9.33,0,0.45,1.73,0,0,0,0.38,0,1.69,2.08,3.68,0,0.42,117.08,0.86,1.22,0,0,0,0,0,35.17,0,0,0,0,1.8
 60-70,0,4.15,0,3.32,0,0,11.1,0,0,0.58,6.28,0,0,2.04,0,0,1.78,3.15,0,0,189.71,2.21,0,0,0,0,0,0,17.84,0,0,0,0,1.98
 72-82,0,17.83,0,0.8,0,1.13,29.93,0,0,8.01,9.31,0,1.27,0,0,0,2.44,3.68,2.87,0,232.79,1.49,0.99,0,0,0,3.03,0,8.49,0,0,0,3.75,0
 84-94,0,14.88,0,3.5,7.13,0,12.03,0,0,4.53,14.29,0,0,1.46,0,0,3.84,3.9,0,0.94,147.99,2.49,0,0,1.49,0,0,0,2.28,0,7.43,0,9.9,0
 96-106,0,15.08,0,4.95,0,2.36,23.66,0,0,6.49,14.08,0,0,0,0,0,14.99,1.97,2.13,0,159.48,0,0.62,0,8.81,0.62,0,0,2.07,2.04,0,1.25,5.2,1.29
108-118,0,8.47,0,0,0,7.52,18.89,1.81,0,15.19,2.73,0,0,0.71,0,0,26,4.96,0,1.31,215.57,1.95,6.8,0,0,0.9,0.5,0,5.03,0.68,0,2.3,11.32,0
120,0,10.45,0,6.19,0,1.33,4.15,2.54,0,14.64,23.43,0,0,0,3.92,0,8.24,0,2.4,0,425.6,5.93,0,0,0,4.05,0,0,21.14,0,0,0,16.6,0
