stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,24.93,10.07,0,6.28,0,0,0,2.71,0,1.15,0,36.34,0,0,0,0,7.56,0,0,8.7,75.36,0,0,0,1.37,0,101.68,14.92,0,1.54,17.02,22.89,0,0,0,0,1.85
 24-34,0.67,1.99,3.92,0,19.74,0.65,0,0.78,0,0,0,0.6,24.01,0,0,0.74,1.9,7.89,0.87,0,5.23,143.13,0,1.4,0,0,0,11.77,0,1.29,0,5.97,24.68,0,0,11.91,0,6.98
 36-46,0,0.6,0,0,34.04,5.71,0,1.45,9.03,0.56,0.73,0,14.87,12.13,0,1.21,2.14,6.87,0,0,1.14,182.36,0,4.08,0,0,0,12.36,0,0.67,13.33,0,28.63,0,0,1.75,0,1.04
 48-58,0,1.26,0,0,112.04,1.74,0.38,0.7,26,0.43,1.27,2.2,2.36,0,0,2.82,0.74,27.8,0,0,11.27,285.07,0,3.76,0.57,0,0,19.76,0,0,2.32,0,40.55,0,0,4.97,0,6.17
 60-70,0,2.89,0,0,199.47,3.19,0,0.9,37.66,1.98,0,3.01,0.59,4.49,0,0,0,11.49,0,0,8.91,327.08,0.68,4.79,0.95,0,0.84,20.72,0,1.71,4.65,0,31.96,0,1.27,1.06,0,0
 72-82,0,4.64,0.75,0,141.95,1.79,0.78,4.17,27.79,0.51,0,4.7,8.1,0,0.67,1.4,0,25.07,0,2.08,5.03,342.49,0,1.32,0.49,0,0,9.1,0,0.9,5,0,13.77,0,1.26,1.73,0.49,11.67
 84-94,0,7.88,0.83,0,85.38,1.03,1.37,0,28.56,5.44,1.14,5.93,14.76,1.36,0.69,0.65,0.71,24.56,1.16,1.31,9.11,212.28,0,2.36,0,0,0,39.84,0,0,1.2,0,9.44,2.96,0.88,1.64,1.1,0
 96-106,0,6.46,9.3,0.72,113.94,0.94,2.48,0,19.11,4.62,1.61,7.15,13.82,1.08,4.15,4.59,0,20.11,1.73,0,1.4,210.33,0.62,9.18,3.04,0,1.17,43.95,0,3.4,2.5,0,6.03,0,1.93,9.75,0,0
108-118,1.22,20.01,2.45,3.92,79.75,4.36,0.97,1.36,12.57,3.45,0,5.07,9.47,0,0.43,3.18,0,12.97,0.77,0,5.76,258.27,0,16.71,1.11,0,1.97,40.27,0,1.12,1.71,0,10.62,0,0,7.03,0.65,1.71
120,0,4.54,3.6,0,59.67,0,2.7,0,10.07,7.74,0,7.56,9.33,1.74,0,5.74,0,7.21,0,0,14.44,335.55,4,4.29,7.69,0,0,23.05,0,1.26,0,0,8.12,0,0,13.91,0,0
