stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,67.97,2337.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.79,0,0,0,0,0,0,0,0,0
  5-6,133.24,2919.92,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,57.9,0,0,0,9.89,0,134.76,0,0,0,0,0,0,0,0,0
  7-9,45.56,35.3,0,23.39,0,0,0,21.62,0,0,0,0,0,27.23,0,0,0,0,0,0,0,0,0,476.76,15.89,0,0,134.42,0,216.79,0,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,30.82,0,0,0,10.24,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,155.08,10.13,0,0,58.73,0,114.97,0,0,3.39,0,0,0,0,0,0
 14-21,0,0,0,0.86,15.03,0,0,0,0,0,0,0,2.38,4.61,0,14.51,0,0,0,0,0,0,0.9,17.13,0,1.85,6.69,0,0,380.58,0.86,0,0.91,1.09,4.51,0,0,0,0
 24-34,0,0,0,3.59,4.87,0,0,17.6,0,1.44,0,0,1.29,5.83,3.03,38.83,1.85,0.67,3.43,8.12,9.83,0,0.65,90.03,0,46.69,4.73,0,0,734.29,0,0,3.6,0,3.58,0,0.85,0,0
 36-46,0,0,0,0,34.05,0,0,1.55,0,6.64,0,1.47,0,1.09,0,9.51,1,0,0,4.24,5.02,0,0.62,62.36,0,62.03,2.83,0,0,742.65,0.78,0,17.77,0,13.05,0,0,0,0
 48-58,0,0,0,0,22.42,0,0,12.93,0,0.8,0,6.41,0,0.57,0,11.99,2.49,0,0,4.33,4.98,0,0,50.61,0,24.45,2.72,0,0,576.83,0,0,0.52,0,5.91,0,0,0,0
 60-70,0,0,0,0,13.9,0,0,8.66,0.64,19.07,0,22.81,2.9,0,0.72,24.91,0,0,0,4.25,13.8,0,0,34.48,0,33.41,15.65,0,1.65,555.12,0,5.3,1.95,0,8.7,6.91,0,0,6.25
 72-82,0,0,0,0,35.03,2.54,0,7.99,0,1.99,0,43.29,12.55,1.11,1.74,30.44,1.21,0,0,6.42,10.09,1.19,0,61.68,0,40.77,14.4,0,0,315.54,0,0,0,0,7.01,10.24,3.63,0,7
 84-94,0,0,0,0,64.86,0,0,8.28,0,15.17,0,63.62,27.06,3.18,5.08,46.88,9.23,0,0,5.95,26.69,0,0,58.28,0,51.44,12.67,0,0,768.51,0,0,1.04,0,1.02,16.51,3.14,0,0
 96-106,0,0,0.81,0,82.07,0,0.9,14.79,0,4.11,0,37.64,23.72,3.18,5.89,56.98,5.32,0,0,6.66,21.1,0.58,0,62.88,0,90.6,29.56,0,0,548.19,0,0,0.7,0,1.95,26.86,0.74,1.17,0
108-118,0,0,3.38,0,128.06,0,0,15.44,0,7.97,3.26,55.89,28.9,0,5.7,52.53,7.73,0,0,1.73,31.12,0.69,0,33.69,0,28.41,30.01,0,0.86,454.64,0,0,3.03,0,3.51,32.57,3.87,0,0
120,0,0,0,0,85.69,0,0,48.49,0,3.64,0,79.08,27.24,0,16.13,30.74,11.79,3.42,0,6.8,8.91,8.33,5.1,44.23,0,109.89,18.03,0,0,306.74,0,0,0,0,3.65,40.35,0,0,0
