stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,16.99,0,0,0,0,0,0,0,0,0,0
 14-21,0.91,13.46,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,7.93,0,0,0,0,244.19,1.29,0,0,0.8,0,0,0,0,0
 24-34,0,15.38,0,0,2.99,0,4.16,0,0,0,0,1.86,0,0,0,0,13.21,1.39,0,6.44,41.94,1.57,0,0,673.99,0,0.64,0.65,0,1.64,0,2.99,0,0
 36-46,0,10.28,0.79,0,0.69,1.9,15.08,0,1.21,0,0,2.56,3.96,0,10.02,0,13.1,5.73,0.92,10.25,41.14,1.69,0,0,1050.87,0,0,17.5,0,5.55,0,0.87,0,0.57
 48-58,0,14.34,0,0,11.34,9.82,22.44,0,4.37,0.38,0.42,1.82,0,0,1.29,4.19,24.57,3.35,12.96,7.85,37,0,0,14.32,793.3,0,0,52.3,0,5.25,0,2.74,0,1.6
 60-70,0,28.9,0,0,12.98,4.55,16.65,0,1,0,0,0.86,0,1.29,0,0,45.44,0.57,14.84,9.95,38.1,0,1.18,0,682.04,0,0,28.34,0,3.51,0,8.64,0,0
 72-82,0,24.36,0,0,11.86,5.64,19.47,0,9.49,0,0,4.15,2.27,0,4.32,0.64,60.23,2.36,19.18,14.34,69.99,0,0,0,413.46,0,0,10.33,0,0,0,4.22,0,0
 84-94,0,25.71,0,0,7.86,24.92,45.29,0,4.83,0,0,9.33,0,0,0,0,65.34,1.71,4,7.42,71.7,0.68,0,0,877.61,0,0,2.84,0,3.97,0,0,0,0
 96-106,0,24.64,1.25,0.56,6.08,14.31,61.74,4.17,12.49,1.76,2.51,5.9,0,0.57,11.32,0,63.86,5.19,11.4,2.61,41.45,1.03,1.51,0,553.05,0,0,3.17,0,0,0,0,0.8,0
108-118,0,48.91,0,0,9.82,4.4,44.08,0,5.77,2.21,0,13.16,2.61,0,3.81,0,114.66,8.88,17.57,19.96,24.19,0,0,0,427.29,0,0,5.63,0,7.26,4.7,0.62,1.17,0
120,0,23.67,0,0,3.36,4.81,34.59,0,2.04,7.2,0,9.26,0,0,19.51,0,70.9,4,10.45,3.83,25.49,0,0,0,162.86,0,0,0,0,0,2.15,1.82,0,0
