stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1.13,0,6.97,0,0,0.83,0,0,1.35,1.83,0,0,0,0,0,0,0,13.03,0,0,0.84,64.52,1.8,0,0.87,0,2.42,0,1.09,27.17,0,0,2.01,0
 24-34,1.56,0.76,9.32,0.96,0,3.22,1.43,0,1.22,0,3.42,0,0,0,0,0,0,133.4,0,0.89,21.31,101.69,1.28,6.39,2.81,0.99,0,0,0,109.03,0,0,2.6,0
 36-46,0.99,0,46.64,0,0,6.19,3.56,1.49,0,0,5.05,0,0,0,0,0,0,447.73,0,26.83,21.03,201.12,2.73,3.23,0,18.07,0,0,0,208.38,0,0,3.26,0
 48-58,1.61,0,36.74,1.58,0,36.6,1.84,14.98,9.92,0,4.19,0,0,0,0,1.02,4.96,564.84,0.82,31.31,25.03,311.28,0.39,0,0,11.92,0.51,0,0,133.94,0,0.84,0.47,0
 60-70,0.91,0,28.23,4.44,0,68.97,5.06,17.72,0,0,3.5,0,0,0,0,9.67,0,950.55,0,36.31,22.72,497.57,1.46,0,0.69,4.64,2.23,0,0,128.94,0,6.78,0,2.11
 72-82,1.65,0,13.39,6.21,0,109,2.55,36.22,27.12,0,0,0.98,0,0,0.61,0,0,1003.42,0,45.72,36.93,580.32,0,0,4.06,2.6,0,0,0,133.35,0,4.08,0,6.37
 84-94,0.95,0,22.33,0,0,136.9,4.32,21.37,7.17,0,4.64,3.56,0,0,0,0,0,844,0.71,53.52,24.66,559.96,5.16,3.19,1.38,18.22,6.19,2.8,0,59,0,5.18,2.78,18.08
 96-106,1.39,0,16.8,0,0,77.04,4.13,11.94,16.65,0,1,0,0,6.77,2.82,1.54,0,731.52,0,15.97,11.02,487.28,0,0,0,3.44,5.64,0,0,77.55,0,2.51,0,9.83
108-118,2.93,0,26.13,0.69,2.65,118.97,4.6,16.74,15.16,0,0,0.42,1.09,1.24,0,0,0,809.95,1.14,24.21,7.49,580.11,0,1.56,0.6,0.91,6.86,0,0,72.22,0,0.9,0,6.65
120,0,0,52.5,0,0,104.71,7.74,5.27,32.96,0,0,5.77,0,0,0,0,0,679.9,0,25.5,3.81,696.71,0,4.59,0,4.76,0,0,0,78.31,1.81,0,0,8.85
