stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,pericytes,periderm,pronephros,somites,spinal_cord
  7-9,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0.92,0
 24-34,0,0,0,0,0.62,0,0,0,0,0.68,0,5.61,0,0,5.62,0,0,0.63,0,0
 36-46,0,0,0,0,0,0,0,0,0.72,0,0,5.6,3.17,0,0.95,0,0,0,0,2.19
 48-58,0,0,0,0,1.16,0,0,0,2.69,0,0,4.18,0,0,5.23,1.12,0,2.28,0,0
 60-70,0,0,0,0,1.42,0.79,0,0,0,0,0,9.76,0,0,0.84,0,0,0,0,0
 72-82,0,5.82,0,0,2.77,0,2.44,10.53,1.26,0,0,4.61,2.1,0,6.68,0,0.79,1.62,0,0
 84-94,0,0.81,0,0,1.72,0,0,13.3,7.37,0,0,1.64,1.21,0,1.53,0,0,6.14,0,0
 96-106,0,4.54,0.67,0,7.27,0,3.36,66.33,4.39,0,0,3.09,5.03,0.67,17.1,0,1.43,5.99,0,0
108-118,0,1.96,0,0.44,11.58,0,1.91,144.69,9.82,0,0.43,2.09,4.23,0,14.38,0,2.21,7.74,0,0
120,0,1.22,0,0,1.95,1.06,0,99.9,7.97,0,0,60.48,15.72,0,17.38,0,5.43,9.8,0,0
