stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,4.06,0.93,0,0,0,4.78,0,0,0,25.62,1.17,0,0,9.29,1.76,0,5.95,0,0
 24-34,0,0,1.85,0,0,3.82,0,0,0,24.01,0,2.58,0,0,0,0.64,7.16,0,0
 36-46,0,0,1.86,0,0,1.48,0,0,0,12.38,0,2.53,0,4.41,0.88,0,2.66,0,0
 48-58,0,0,2.13,0,0,0,0,0,3.77,11.34,0,4.05,0,0,0,0,1.61,0,0
 60-70,0,0,10.57,0,0.86,1.94,0,0.69,2.54,9.15,0,4.02,0,0,0,0,0.71,0,0.82
 72-82,0.98,0,1.65,0.55,0,6.01,0,0,5.75,6.94,0,0,0,0.95,0,0,0,0,0
 84-94,0,0,0.71,0,0,0,0,0,2.95,9.89,0,1.04,0,0,2.39,0,5.56,1.57,0
 96-106,0,0,1.6,0,0,4.31,0.99,0,0,10.18,0,0.93,0,0,0,0,2.95,0,0.68
108-118,0,0,4.39,0.6,0,0,0,0,1.35,1.51,0,0.46,0.65,0,0,0,0,0.41,0
120,0,0,0,0,0,0,0,0,0,18.06,0,0,0,0,0,0,0,0,0
