stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,49.58,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.75,0,0,0,0,0,0,0,0,0,8.01,0,0,0
  7-9,0,0,3.86,0,0,0,7.9,4.32,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0
 14-21,0,0,0,0,0,5.19,7.45,0,0,0,0,0,2.77,0
 24-34,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0.65
 36-46,0,0,0,0,1.39,1.36,5.29,0,1.14,0,0,0,1.97,0
 48-58,0,0,0.61,0,0,0,3.34,0,0,0,0,0,0,0
 60-70,0,0,2,0,0,0,6.8,0,0,0,0,0,0,0
 72-82,0,0,1.71,0,4.65,0,9.97,0,3.73,0,0,0,0,0
 84-94,0,0,0.81,3.97,0,0,1.8,0,0,0,0,0.94,0,0
 96-106,0,0,0,1.26,1.67,0,0,0,0,0,0,0,0,0
108-118,0,0,3.12,0,2.38,0,5.8,0,0,0,0,0,0,0
120,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0
