stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,71.34,1385.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.94,0,0,0,0,0,0
  5-6,94.89,2120.03,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,79.8,25.17,0,0,27.89,0,91.36,0,0,0,0,0,0
  7-9,26.48,33.87,0,18.85,0,0,0,78.73,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,636.96,41.52,0,0,248.93,0,7.71,0,0,0,0,0,0
 10-12,0,0,0,18.11,0,0,0,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.57,4.38,0,0,19.02,0,0,6.03,0,0,0,0,0
 14-21,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,1.17,6.12,0,0,0,0,0,0,0,1.13,0.9,0,0,47.79
 24-34,0,0,0,0,0.61,0,0,5.3,0,0,0,0.64,0,0,0,0,0,0,0,0,0,1.21,0.6,40.62,0.83,1.03,0.84,0,0,0.7,0,0.69,12.92,0,0.64,155.41
 36-46,0,0,0.95,0,0,0,0,10.39,0,0,0,1.19,0,0,0,0,0,0,0,2.94,0,0,0,106.04,0.59,3.01,4.19,0,0,1.12,0,0,11.18,0,1.23,132.78
 48-58,0,0,0,0,0,0,0,22.67,0,2.44,0,11.17,0,0,0,0,0,0.65,0,6.25,0,0,0.4,167.04,0,0,0,0,0,0,0,0,15.51,0,1.49,723.21
 60-70,0,0,0,0,1.38,0,0,43.18,0,1.1,0,15.93,0,0,0.92,10.83,0,0,0,16.75,0,0,0,137.39,0,0,0,0,0,0,0,0,22.73,0,0.67,519.94
 72-82,0,0,0.57,0,6.97,0,0,60.19,0,0,1.41,11.63,0,0,0.5,0,0,0.91,0,24.38,0,0,0.59,95.93,0,3.42,0,0,0,2.45,0,0,6.96,0,6.83,790.02
 84-94,0,0,0,0,0,0,0,38.04,0,0,0,2.55,0.76,0,0,3.21,4.53,2.15,0,8.8,0,0,0,56.39,0,10.62,2.03,0,0,3.74,0,0,0,0.57,6.47,458.35
 96-106,0,0,0,0,0.75,1.77,0,64.92,0.94,0,0,8.3,0,0,0,0.86,0,2.94,0,14.09,0.77,1.34,0,56.14,0,0,0,0,0.87,3.25,0,0,2.02,0,0,738.71
108-118,0,0,0,0,2.08,0,2.45,16.14,0,0.56,0,4.1,0,0,0,1.23,4.6,0,0,17.69,0,0,0,38.37,0.46,0.54,0,0,0,6.25,0,0,0.96,0,0,1275.22
120,0,0,0,0,0,5.05,0,12.56,0,0,0,4.82,0,0,2.04,0,0,0,5.66,11.74,0,0,0,102.41,0,0,0,0,0,2.27,0,0,0,0,7.03,783.04
