stage,blastomeres,epidermis,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.54,0,0,0,0,0,13.94,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,38.72,0,7.83,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.05,0,2.11,0,0,0,0,0,0,0
 24-34,0,0,0.64,0,0,0,2.13,0,12.65,0,0,0,1.46,0,0,0.89
 36-46,0,0,2.35,0,0,0,2.23,0,11.83,0,0,2.46,14.04,0,0,0
 48-58,0,0,6.43,1.8,0,0,0.55,0,2.12,0,0,0,1.77,1.91,0,4.69
 60-70,0,1.44,3.05,2.1,0,0,6.11,0,7.8,0,0,0,0,0,0,0
 72-82,0,0,12.75,0,0,0,0,0,14.27,0,0,0.58,0,0,0,0
 84-94,0,0,4.77,0,0,0,5.04,0,2.06,0,0,0,0,0,0,0
 96-106,0,0,4.65,0,0,0,0.79,0.6,0.61,0,0,0,5.13,0,1.41,0
108-118,0,0,0.99,0,0.48,3.24,0.86,0.77,7.11,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,12.96,3.25,0,0,1.34,0,0,0
