stage,epidermis,erythrocytes,eye,fin_epithelia,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,vasculature
  5-6,0,0,0,0,0,0,0,8.55,0,0,0,6.32,0
  7-9,0,0,6.49,0,0,0,0,5.16,0,0,13.12,0,0
 10-12,0,0,0,0,0,0,0,24.48,0,0,0,0,0
 14-21,0,1.36,0,0,0,0,0,0,0.97,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0,0.87,0
 36-46,0,0,0,0,0,0,0.9,2.37,0,0.71,0,4.9,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.61
 60-70,0,0,0,0,0,0,0,0.6,0,0,0,0.65,0
 72-82,0,0,1.39,0,0,0,0,0,0,0,0,0.58,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,6.07,0
 96-106,3.03,0,0,0,0,0.62,0,0,0,0,0,11.31,0
108-118,6.15,0,0,0.96,0,0,0,1.06,0,0,0,9.5,1.46
120,4.29,0,0,0,0,0,0,4.41,0,0,0,3.13,0
