stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.8,1131.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.14,0,0,0,0,0,0,0,0,0
  5-6,69.21,1058.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.32,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0
  7-9,20.32,24.2,0,9.3,0,0,0,51.19,0,0,0,0,0,24.67,0,0,0,0,0,0,0,0,0,0,982.15,17.57,0,0,357.82,4.29,23.37,0,0,0,0,0,0,0,0
 10-12,0,34.81,0,64.35,0,21.37,0,103.18,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0,0,0,1106.53,18.99,0,0,431.71,0,5.47,6.12,52.87,0,0,0,0,0,0
 14-21,0,0,0,11.39,60.93,10.34,0,60.66,0,0,0,12.95,0.85,0,2.5,0,3.7,0,0,0,46.14,0,0,34.01,776.29,21.73,2.28,4.34,22.5,13.18,0,74.79,2.52,51.01,204.21,0,0.82,0,0
 24-34,0,0,0,5.29,28.85,4.39,0,467.05,0.9,5.59,0,42.68,1.98,0,1.45,0.6,1.18,1.49,1.79,8.89,219.93,1.14,0,51.06,2555.06,3.06,12.92,22.34,0,18.06,0,0.93,1.63,8,484.34,0,30.23,0,4.36
 36-46,0,0,0,2.33,41.99,6.76,0,875.92,0,0,0.87,35.07,2.17,0,0.75,5.63,28.96,3.62,0.57,2.46,141.74,0,6.45,33.36,1745.71,3.51,11.48,4.22,0,42.03,0,0.86,0,0,297.2,0,32.78,0,0
 48-58,0,0,0,0.96,25.69,2.73,0,909.94,0,2.84,0.79,37.78,1.42,0,0.42,0.43,1.1,7.98,6.27,0,129.49,0,3.24,9.01,684.67,1.03,0.83,9.69,0,4.37,0,0,1.33,0,54.8,0,7.1,0,1.01
 60-70,0,0,0,0,36.95,2.2,0,715.45,0,0,1.97,48.46,7.32,0,0.66,1.31,0,2.68,3.01,2.28,107.14,0,13.76,21.47,372.5,1.83,1.85,17.36,0,1.28,0,0,6.32,0,27.55,0,7.82,1.79,8.84
 72-82,0,0,1.15,0,17.3,0.59,0,172,0,0,1.05,31.88,3.32,0,0,0,0,0,0,1.03,63.81,0.58,1.98,12.93,169.75,1.39,2.49,2.1,0,1.6,0,0,0,0,8.46,1.26,3.72,0,0
 84-94,0,0,0,0,24.16,2.59,0.73,157.53,0,0,1.83,23.03,8.95,0,0.8,7.33,0.56,3.25,1.77,2.4,80.34,0,7.24,22.53,129.97,0.72,1.18,0.92,0,8.12,0,0,0,0,1,1.17,24.87,0,0
 96-106,0,0,0,0,12,2.83,0,84.76,0,0,0,15.66,2.89,0,0,4.08,0,0,0,0,29.83,0,0,3.06,72.96,0,2.27,3.04,0,0.69,0,0,0,0,4.95,0,6.43,1.42,0
108-118,0,0,0,0,9.01,6.34,0,103.48,0,0,0,23.07,4.77,0,1.34,7.44,1.87,5.84,1.75,0,19.11,0,8.12,7.55,139.08,2.09,0,1.16,0,0,0,0,0,0,1.08,0.51,4.95,0,0
120,0,0,0,0,11.51,10.88,0,261.28,0,0,7.55,60.51,2.28,0,0,8.35,0,1.18,2.07,1.99,28.85,0,2.35,15.11,380.85,2.45,0,19.31,0,3,0,0,0,0,10.07,0,18.86,0,0
