stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.94,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.84,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.14,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.78,0,0,0,14.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,0,0,44.15,1.94,0,6.48,0,0,2.38,0,0,0,0,8.25,0,0,0,0,5.06,1.1,0,3.43,146.45,0,0.84,0,0.84,0,3.56,11.23,0.9,0,11.17,99.02,0,0,0,0,0
 24-34,0,0,0,0,14.14,0.84,0,12.31,0,0,6.74,0,0,0,0,48.5,0,0,5.54,0,8.38,97.17,0,2.04,225.61,0,0,0.63,0,0,7.03,0,3.44,0,1.36,27.42,0,0,1.17,0,0
 36-46,0,0,0,0,5.81,0,0,14.81,3,0,9.84,0,0,0,0,15.29,0,0,0,1.22,0.79,81.25,0,0,200.71,0,2.41,0,0,0.97,2.4,0,0,0,0,24.64,0,0,7.61,0,0
 48-58,0,0,0.44,0,3.16,0,0,28.82,5.24,0,8.43,1.35,0,0,0,43.12,0,0.41,0,0,8.63,91.05,1.09,2.21,114.46,4.05,0,0.55,0,0,4.78,0,0.74,0,0,16.75,0,0,0,0,0
 60-70,0,0,0,0,8.8,0,0,37.92,1.81,0.72,13.4,3.78,0,0.77,0,26.54,0,0,0,0,9.42,57.01,0,0,82.91,0,1.02,0.86,0,0,0.66,0,0,0,0,20.27,0,0,0,0,0
 72-82,0,0,0,0,20.77,3.96,0,33.77,0,0.69,8.77,60.66,0,0,1.27,16.78,0,0.67,0,0,9.24,90.34,1.58,1.32,101.79,0,0.88,2.15,0,0,1.5,0,1.26,0,0,4.38,1.35,1.48,0,0,0
 84-94,0,0,3.88,0,30.17,1.3,0,45.38,1.35,0,17.57,128.57,0.71,0,0,6.47,1.32,0.78,0,0,12.73,129.54,0,4.55,68.15,3.16,0,2.77,0,0,10.87,0,0,0,0,8.01,3.63,0,0,0.63,0
 96-106,0,0,0,0,8.32,9.35,0,19.92,1.11,0,5.44,158.92,0,0,0.66,4.83,0,0,0.63,3.66,15.7,133.2,0,0.59,74.46,0,2.34,0,0,0,3.58,0,0,0.73,0,2.18,0.56,0.96,3.5,0,0
108-118,0,0,0,0,19.57,0,0.9,4.37,1.46,0,12.56,214.31,0,0,0.75,5.7,0.48,0,3.24,0,11.14,177.4,0,4.02,86.99,0,0,0.47,0,0,0.96,0,0.43,0,0,2.54,4.42,0,0,0,2.08
120,0,0,0,0,52.63,1.32,0,39.5,0,4.69,17.18,103.56,0,0,0,0,0,2.12,0,0,13.44,100.35,3.62,4.09,157.05,2.28,6.2,2.56,0,0,13.48,0,0,0,0,0,0,0,2.42,0,0
