stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,58.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.35,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.77,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.91,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.44,11.8,4.49,0,1.35,0,1.82,0,1.15,0,0,0,0.9,0,0,0,0,0,1.94,0,0,6.01,22.13,2.23,0.85,0,0,0,4.7,0,3.64,0,4.17,3.87,0,0,5.12,0,0
 24-34,0,1.45,0.59,13.23,1.02,0,7.53,0,6,1.6,3.96,0,0,3.99,0,6.11,0,0.66,0,1.31,32.48,0,0,12.62,107.7,1.21,9.14,1.37,0,0.99,41.6,0,0,3.94,3.87,23.88,0,0,29.89,0,2.94
 36-46,0,0,0,13.31,2.22,0,17.59,0,3.23,5.26,18.65,2.1,7.75,3.8,0,0,1.48,1.19,0,6.85,77.12,5.61,2.43,19.95,178.66,3.15,9.35,1.21,0,1.01,42.75,0,0,0,0,31.12,0,1.37,29.75,0,11.36
 48-58,0,0,0.86,11.92,0,0,12.79,0,1.9,5.41,17.69,0.54,0.7,4.17,0.37,7.23,0,3.71,0,18.74,82.33,4.92,3.37,16.68,100.77,5.93,3.8,2.26,3.66,0,8.83,0,0,0,0,16.92,0,0.51,13.47,0,1.6
 60-70,0,0.86,0,15.95,6.26,0,34.41,0,21.46,8.88,44.37,5.34,0,0,2.02,1.42,4.64,0.79,1.2,4.69,188.73,5.03,4.8,9.09,86.94,7.28,9.02,11.36,0,4.57,30.63,0,0,0,0,29.16,1.22,8.91,13.46,2.83,10.94
 72-82,0,1.22,0.75,14.75,29.8,0,11.88,1.33,7.43,7.84,39.85,4.41,0,10.08,3.03,1.23,4.14,16.9,0,4.02,229.93,16.66,5.38,19.46,41.33,0,6.12,5.23,0,6.62,28.79,1.65,0,0,0,1.83,3.33,2.88,57.71,2.17,7.26
 84-94,0,0.6,0,34.82,0.71,0,25.86,0,20.88,8.05,31.2,7.24,5.89,6.59,8.63,1.77,0,0,0,18.56,139.42,9.96,0.57,15.77,65.58,1.78,26,2.12,0,12.7,16.33,0,0,0.97,0,12.3,2,3.69,47.15,0,6.97
 96-106,0,0.63,0,35.64,64.81,0,20.92,3.88,9.36,1.02,73.98,9.03,0,8.34,18.13,0.86,5.65,14.03,10.76,8.12,266.68,11.96,8.78,5.09,88.52,1.97,25.67,30.76,0,3.43,51.35,2.06,0,0,0,9.65,7.99,8.79,49.06,8.63,17.31
108-118,0,1.52,0,84.55,36.22,0,31.3,0,20.52,11.89,70.28,6.67,0,11.08,19.37,2.66,14.11,5.71,1.1,9.01,249.02,10.47,3.83,9.61,73.25,0.46,1.72,4.91,0,10.35,52.27,0,0,0,0,13.81,8.8,2.6,27.36,12.87,17.03
120,0,9.35,0,83.92,7.12,1.78,39.55,0,11.44,10.14,142.43,9.94,0,17.13,24.24,11.79,2.34,3.15,9.47,7.4,266.49,16.73,2.18,8.93,104.11,7.38,12.93,21.67,0,0,33.19,0,0,3.97,0,0,6.51,1.32,84.88,3.74,7.23
