stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,222.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,0,0,0,0,0,0
  5-6,21.11,80.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.87,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,39.13,0,0,0,5.12,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.89,0,0,0,6.26,0,0,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0.83,0,0,0,0,0,0,4.71,0,1.73,25.54,0,0,0,0,0,0,1.95,1.93,5.83,0,0,0
 24-34,0,0,0.62,0,5.38,0,0.6,0,5.68,0,0,0,0,0,0,7.31,0,3.19,122.53,0,0,1.33,0,0,4.95,0,0,20.46,0,0.96,0.77
 36-46,0,0,2.66,0.67,2.38,0,0,1.98,9.57,0,2.56,0,0,0,0,10.64,0,0.67,170.56,0,0,0.95,0,0,0,0,0,48.17,0,0,2.67
 48-58,0,0,0.79,0,18.96,0,0,0,21.03,0,0,0,0,0,0,11.91,0,4.65,194.52,0,1.7,0.42,0,0,0,0,0,66.69,0.51,1.23,0
 60-70,0,0,0,0,129.17,0,0,0.83,21.8,0,0,0,0,0,1.46,17.27,0.79,1.84,221.73,0,0,0,0,2.69,0,0,0,53.28,2.53,4.56,1.56
 72-82,0,0,0.71,0,140.22,4.55,1.47,0,32.65,0,0.53,0,0,1.33,0,17.08,1.02,0,241.66,0,1.05,0,0,0.77,0.95,0,0,47.82,1.92,0,0
 84-94,0,0,0,1.92,80.03,0,0.88,0,29.76,1.29,0,0,0.75,0.58,12.61,32.59,0,1.91,153.81,0.68,1.55,8.27,0,0,2.63,0,0,36.99,0,4.34,0
 96-106,0,0,3.84,0.81,115.76,0,0,0,15.4,0,0,0.56,0,0.79,0,46.8,0.58,6.5,153.84,0,2.42,1.35,0,0,0,0,0,11.21,1.74,4.94,0.86
108-118,0,0,5.47,2.31,82.9,0.44,0,0,33.51,0,0.69,0,1.43,1.99,0,30.94,0,1.58,153,0,3.02,0,0,0.96,0,0,0,14.47,0,4.6,0
120,0,0,9.48,0,70.59,7.8,0,0,51.88,0,0,1.87,0,0,0,27.35,9.18,2,193.21,3.59,0,0,0,0,0,0,0,16.95,0,0,0
