stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,187.9,2051.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,177.69,1005.33,0,0,0,0,0,0,0,0,0,0,0,15.05,0,0,0,0,0,0,0,0,0,0,35.67,0,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.59,27.02,0,5.39,0,0,0,27.45,0,0,0,0,0,39.76,0,0,0,0,0,0,0,0,0,0,287.01,29.81,0,0,120.42,0,3.29,7.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,0,65.97,0,6.59,0,30.45,0,0,0,0,0,46.22,0,0,0,0,0,0,0,0,0,0,681.27,73.4,0,0,236.51,0,0,5.62,0,18,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,1.01,53.3,0,0,8.16,0,2.04,0,1.21,0,0,0,0,0,0,0,0,7.77,0,0,12.69,281.65,55.72,0,4.95,2.06,0,0,0.9,9.69,0,4.62,9.82,80.56,0,0,3.6,0,0
 24-34,0,0,0,2.24,16.53,0.6,0,20.72,0,23.68,1.77,29.13,0.63,0,0,0,4.99,0,2.17,0,53.96,0,1.63,33.72,640.06,175.28,3.21,20.67,0,0,10.84,0,0,0,0,4.91,263.82,0,0,7.6,0,0
 36-46,0,0,4.03,0,14.98,0,0,29.72,0,23.86,3.25,168.42,0.56,0,4.41,0,1.15,0,0,10.02,106.94,1.91,0.55,26.16,819.54,165.83,0,14.52,0,0,25.06,0,0,0.7,0,0,462.79,0,0.62,7.86,0,0
 48-58,0,0,0.65,0,7.03,0,0,105.46,0,16.24,15.39,254.98,0,0,0.77,0,0,2.03,1.04,2.32,266.26,6.63,3.38,26.06,651.75,91.94,2.37,39,0,0.95,19.98,0,0,0,0,0,416.99,0,1.25,13.21,0,0
 60-70,0,0,0,0,9.46,0,0,230.1,0,22.09,8.17,297.99,1.76,0,0,0,0,1.84,0,9.67,502.34,3.09,3.34,21.54,440.99,48.54,1.75,14.46,0,0,26.3,0,0,0,0,0,185.28,2.23,5.65,3.95,0,0
 72-82,0,0,3.16,0.75,13.27,0,0,459.82,0.55,7.73,17.8,433.29,0,0,0,0,2.12,0,8.55,3.68,683.51,0,10.64,21.06,440.85,32.86,3.32,73.25,0,2.68,16.57,0,0,1.52,0,0,40.46,0.5,8.97,20.24,1.49,0
 84-94,0,0,0,0,1.39,2.95,0,283.49,0,24.14,12.57,297.66,2.23,0.85,1.1,0.56,2.83,8.83,6.22,6.92,649.42,10.47,4.05,10.97,312.14,36.19,3.87,67.78,0,0,48.44,0,0,0,0,0,53.39,0.76,5.05,7.03,3.94,1.57
 96-106,0,0,1.79,0,9.15,6.28,0.71,271.34,0,22.14,5.35,367.73,3.88,0,0,2.1,4.59,3.19,8.69,4.59,411.2,4.86,4.26,10.22,281.3,26.58,10.09,54.44,0,4.59,36.26,0,0,1.18,0,0,14.63,1.8,4.7,13.99,4.36,0
108-118,0,0,0,0,21.73,1.56,2.86,238.27,0,18.96,5.78,375.17,5,0,0,0,2.08,2.47,0.93,4.4,309.01,12.11,5.61,7.97,254.68,35.68,12.71,55.19,0,0,27.18,0,0,0.42,0,0,19.18,3.52,2.84,9.6,1.42,0.99
120,0,0,0,0,14.19,0,0,140.46,0,9.53,11.3,496.7,7.64,0,0,8.08,3.16,0,4.22,15.72,273.41,0,0,7.82,414.03,13.9,2.72,28.75,0,0,14.38,0,0,0,0,0,40.49,1.09,0,17.22,0,0
