stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,99.8,1615.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.99,0,0,0,0,0,0,0,0,0,0
  5-6,53.34,930.53,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.57,0,0,0,9.2,29.88,0,0,0,0,0,0,0,0,0,0
  7-9,8.38,60.23,44.77,0,0,162.96,0,0,0,0,0,29.32,0,0,0,0,0,0,0,0,0,0,927.12,18.08,0,0,262.11,3.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,54.91,6.27,0,0,39.45,0,0,0,0,0,15.23,0,0,0,0,0,0,0,0,0,0,754.42,3.62,0,0,214.08,0,0,27.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,29.02,5.05,11.36,0,0,0,8.45,1.38,0,0,0,1.98,0,0,0,20.35,0,0,21.07,213.27,7.3,0,0,3.49,1.43,31.64,3.81,2.54,38.14,62.4,0,0,0,0,0
 24-34,0,0,0.7,4.75,0.6,21.33,0.72,0,0,3.07,0,0,0,0,0,0,0,0.65,6.73,0.91,0,7.91,263.7,0,0,1.01,0,3.68,0,0,0.92,2.83,48.92,0,0,8.54,0,0.91
 36-46,0,0,0,0,0,83.8,0,0,0.6,19.27,0.61,0,0,0,0,0,1.34,0,15.33,0,0,6.51,170.71,3.77,0,0,0,0,0,0,0,0,20.13,0,0,2.34,0,0
 48-58,0,0,0,0.83,0,107.76,0,0,0,20.13,0,0,0.47,0.44,0,0.4,0,0,13.64,0.4,0.47,3.54,112.59,0,0,0,0,6.36,0,0,0,0,10.44,0,0,0.53,0,0
 60-70,0,0,0,0,0,62.61,0,1.49,0,4.34,0.58,0,0,0,0,0,0,0,30.35,0,8.3,0,47.09,1.57,1.02,0,0,1.57,0,0,0,0,4.72,0,0,0,0,0
 72-82,0,0,0,7.52,3.96,30.66,0,0.55,0,7.38,0,0,2.32,0,0,0,0.89,0,16.55,0,0,1.41,43.27,0,0.67,0,0,0.73,0,0,0,0,0,0.51,0,7.55,0,0
 84-94,0,0,1,3.36,0.77,39.06,0,0,1.43,6.41,0,0,0,2.58,0,1.73,0,0,15.1,0,0,3.4,93.71,0,1.22,0.64,0,3.38,0,0.56,0,0,2.24,0,0,0.64,0,0
 96-106,0,0,0,2.32,5.53,32.05,1.64,0,0,5.31,0,0,0,2.12,0,0.92,0,0,3.06,0,0,0.9,34.41,0,0,0,0,1.61,0,0,0,0,0,1.22,1.24,0.97,0.86,2.56
108-118,0,0,0,4.39,11.45,13.35,0,1.42,0,7.55,1.03,0,0,1.09,0.44,3.44,0,8.75,34.94,3.66,1.7,1.73,49.71,0,0.43,0.48,0,2.12,0,0,0,0,0,0.81,0,4.41,1.3,0
120,0,0,0,0,5.03,14.34,0,0,0,14.67,0,0,5.18,9.2,0,0,0,0,10.16,0,0,0,64.55,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0
