stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,10.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,3.65,0,0,24.21,0,0,0,0,0,0,0,0
 14-21,0,0,1.92,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,3.43,2.99,0,0,0,13.1,0,0,0,0,0,0,0,1.93,0,0,0,0
 24-34,0,0.7,4.13,1.68,0,1.76,0,0,0.76,0,0,0,0.65,2.12,0,0,0.96,0,5.67,0,0,1.26,33.03,0,0,0.9,0,4.54,0,0.63,0,11.08,0,5,0
 36-46,0,0,2.34,0,0,2.54,0,0,1.23,13.32,0,0,1.61,0,0,2.31,0.57,0,2.18,0,0,1.24,32.48,0.66,0,0,0,3.77,0,0,0,12.94,0,2.04,0
 48-58,0,0,0,0,0,2.22,0,0,0,2.8,0,0,0.96,0,0,0,0,0,6.53,1.91,1.56,0.38,14.64,0,0,0.37,0,1.08,2.01,0,0,7.52,0,2.05,0
 60-70,0,0,11.43,0,0,15.38,0,4.13,0,6.27,2.29,3,13.49,0,0.66,0,0,0.72,11.63,0,0,0,12.63,1.87,0,0,0,0,0,0,0,2.89,0,3.66,0
 72-82,0,0,0,14.07,0,10.46,1.11,0,1.18,25.01,9.84,0,3.88,0,3.97,0.79,0,1.95,8.61,1.31,0,0,11.63,0,0,2.12,0,0.53,0,0,0,1.14,0,3.67,0
 84-94,0,0,11.78,0,0,24.64,0,0.78,0,10.21,5.63,0,12.94,0,0,1.82,0,4.83,6.63,0,5.36,0,19.04,5.65,0,6.54,0,4.99,0,0,0,3.13,0,0,0
 96-106,0,0,10.46,17.65,0,9.07,0,0,0,5.79,2.86,0,19.8,0.86,0,0,0.68,0,22.35,0,1.34,0,27.49,2.63,5.24,0.8,0,6.7,0.7,0,0,4.7,0,0,0
108-118,0,0,7,6.06,0.43,13.79,0,0.5,0,10.97,3.54,0,12.81,0.71,2.23,0,0,0,12.44,0,0,0,21.62,1.23,1.71,0,0,6.41,0,0,0,3.77,0,4.2,0
120,0,0,2.17,4.38,0,40.58,0,0,0,15.46,2.68,4.06,49.59,0,0,0,0,0,1.1,0,0,0,9.6,2.89,0,0,0,3.62,1.26,0,0,0,1.19,0,1.8
