stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,12.16,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,14.07,0,0,0,6.65,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,42.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1.18,2.94,6.9,1.7,0,0,0,0,0,0,0.96,0,0,0,1.85,0,0,0,2.69,0,0,0,0,7.67,0,0,2.54,1.96,0,0,0
 24-34,0,0,2.06,0,2.24,0.67,0.84,0,0,0,1.95,3.16,0,0,9.04,0.76,0,0,0.65,31.86,0,0,0,0,0,0,0,0,9.4,1.71,0,0
 36-46,0,0,2.46,0,3.36,0,0,1.11,0,0,0,0,0,0,0,1.63,0,0.55,0,28.96,0,0,0,0,0.68,0,0,0,16.43,0,0,0
 48-58,0,0,0,1.35,12.78,0,0.66,5.42,0,0,0,0,0,0,0,6.52,0,0,1.41,31.39,0,0,0.59,0,0.72,0,0,0,11.37,0,0,0
 60-70,0,0,1.8,0,16.31,0,0,3.82,1.45,0,0,0,2.82,0,7.3,2.73,0,1.71,1.69,45.91,0,0,0,0,0,0,0,0,6.58,0,0,0
 72-82,0,0,1.78,10.45,6.29,0,0,2.07,0.81,0,0,0,0,1.33,53.78,14.23,0,0,0.82,35.17,0,0,0,0,0,0,0,0,2.94,0.72,0,0
 84-94,0,0,4.53,2.18,9.25,0,0,0,0.73,0,0.57,0,0,0,200.8,5.79,0,0,2.18,17.85,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,10.16,20.85,0,0,12.67,1.18,0,1.19,0.66,1.08,0,534.88,9.37,0,3.85,0.62,96.03,0,1.91,0,0,6.25,0,8.07,0,4.04,1.09,1.59,0
108-118,0,0,0.45,3.16,24.74,0,0,0,0.47,0,0,0.48,1.96,0.43,1209.69,11.42,1.08,0,1.63,72.66,0.77,4.24,6.73,0,5.19,0.44,0,0,1.27,1.03,0.49,5.45
120,0,0,1.95,2.82,21.34,0,0,3.94,0,0,2.06,4.81,0,0,854.02,0,0,0,2.23,115.11,0,0,0,0,2.11,0,1.21,0,6.99,0,0,0
