stage,blastomeres,endoderm,hatching_gland,neural,notochord,paraxial_mesoderm,somites
  3-4,27.32,0,0,0,0,0,0
  5-6,193.02,0,10.32,0,0,7.71,0
  7-9,0,5.25,3.57,85.67,7.21,20.33,0
 10-12,0,0,0,26.67,0,18.03,7.48
