stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.9,715.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.81,0,0,0,0,0,0,0,0,0,0
  5-6,67.64,724.3,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,35.24,0,0,0,0,0,0,0,0,0,0
  7-9,8.61,4.71,13.89,0,0,7.05,0,0,0,0,0,80.62,0,0,0,0,0,0,0,0,0,0,0,162.82,40.32,0,0,94.02,67.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.62,0,0,7.51,0,0,0,0,0,233.75,0,0,0,0,0,0,0,0,0,0,0,228.5,27.51,0,0,99.03,82.47,12.18,0,5.15,3.11,0,0,0,0,0,0
 14-21,0,0,4.33,121.53,8.78,3.98,0,5.34,0,0,0.87,12.21,0,1.01,17.45,0.87,0,0,0.88,5.53,0,0,5.6,18.02,4.26,0,0.86,0.91,291.85,0,1.78,4.38,9.82,8.61,0,0,2.66,0,0
 24-34,0,0,0.6,98.15,1.55,4.7,0,28.77,3.05,0.65,0,2.17,0.69,2.29,43.5,0,1.54,0,0.62,10.13,4.67,0,3.86,64.17,2.7,1.43,0,0,400.19,0,0,5.28,1.3,3.87,0,0,6.38,0,0.8
 36-46,0,0,0,39.93,1.95,2.03,0,31.55,5.57,1.16,0,0,0.75,0,9.81,0.71,0.57,0,2.38,7.27,8.03,0,0.95,48.31,0,0.91,2.12,0,407.89,0,0,3.01,0,3.54,0,0,14.06,0,0
 48-58,0,0,0,63.96,0,12.7,0,21.25,6.42,10.05,0.64,4.21,0.48,1.31,12.33,0,0.41,0,2.24,16.39,7.42,0,1.35,70.1,1,1.45,5.58,0,209.05,0,0,15.31,0,3.27,0,0,3.18,0,1.42
 60-70,0,0,0,60.89,0,3.87,0,34.43,19.39,4.03,3.1,0,0,13.88,3.47,0,0,0,0,27.27,10.06,0,0,13.35,0.93,1.63,0,0,183.79,0,0,3.02,0,0,0,1.29,0,0.9,0
 72-82,0,0,0.75,47.63,0,9.16,0,48.74,15.31,23.21,0.73,0,0,4.03,18.69,0.52,0,0,0,36.89,8.73,0,1.42,34.66,0,0.6,2.4,0,141.9,0,0,1.32,0,0,3.03,0,1.59,0,8.79
 84-94,0,0,0,87.47,0,0,0,27.28,0,3.27,5.89,4.06,0,6.94,20.22,0.62,3.4,0,0,35.49,16.71,0,1.42,19.91,0,0,2.69,0,291.66,0,0,5.43,0,0,0.55,2.75,8.86,0,0.64
 96-106,0,0,0,80.03,0,22.44,0.86,56.62,2.18,9.74,10.26,1.06,0.62,2.04,19.71,0,1.89,0,0,19.4,23.36,0,1.59,47.69,0,0.71,0.57,0,289.7,0,0,2.01,0,0,1.47,0,5.1,1.28,0
108-118,0,0,0.45,129.42,1.21,2.74,0.93,54.05,4.9,3.68,12.66,0,1.25,6,20.56,4.27,0.43,0.5,0,33.75,5.91,2.97,1.81,28.25,1.03,1.68,1.15,0,225.78,0,0,6.92,0,1.53,1.47,0.63,5.27,1.42,0
120,0,0,0,97.04,0,1.82,0,76.4,7.61,12.81,29.54,0,0,8.91,27.25,0,0,0,0,21.56,14.15,4.82,9.15,45.74,0,7.83,8.54,0,246.28,0,0,2.85,0,0,1.19,10.67,1.59,0,0
