stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,234.12,5908.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.5,0,0,0,0,0,0,0,0,0,0
  5-6,286.62,4738.19,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.9,0,0,0,21.76,0,113.03,0,0,0,0,0,0,0,0,0,0
  7-9,91.22,178.09,115.65,0,0,0,293.19,0,0,0,0,112.35,0,0,0,0,0,0,0,0,0,0,0,2896.39,95.57,0,0,720.83,0,6.59,38.04,0,0,0,0,0,0,0,0,0
 10-12,4.89,127.43,134.83,0,6.05,0,246.91,0,0,0,0,33.14,0,0,0,0,0,3.73,0,0,0,0,0,2898.57,109.47,0,0,711.99,0,0,16.4,3.96,83.7,0,0,0,0,0,0,0
 14-21,0,0,7.55,117.02,66.36,0,77.26,0,0,15.52,3.96,9.12,0.81,0,6.65,0,0,0,0,71.83,0,0,60.06,849.88,29.11,3.18,7.28,29.78,0,51.58,0,55.38,5.84,71.84,270.72,0,0,18.23,0,5.27
 24-34,0,0,9.37,20.78,5.02,0,175.64,2.7,0.92,27.84,1.6,0,3.15,2.19,3.89,1.17,3.63,6.52,0,99.11,0,0.89,47.6,1068,5.7,2.51,2.88,0,0,16.21,0,0,4.69,7.37,194.02,0,0,19.3,0,16.65
 36-46,0,0,0,22.95,1.77,0,145.69,0,0,8.11,2.37,0,1.32,4.34,0,0,0.8,0,0,98.71,0,5.03,16.06,478.59,3.22,1.53,3.16,0,0,9.75,0,0,0,0,109.76,0,0,2.6,0,14.57
 48-58,0,0,0,15.1,1.92,0,166.24,4.36,4.32,43.28,0.97,0,2.18,0.4,0.37,1.29,1.29,0,0,88.76,0.57,9.16,21.69,246.7,3.24,2.23,0.38,0,0,4.61,0,0,0.55,2.82,26.24,0,0,10.3,0,26.95
 60-70,0,0,0,8.15,0,0,89.9,5.34,0,50.22,3.4,0,0,9.54,3.07,1.22,0,0,1.24,96.09,0,5.49,16.24,120.63,14.13,0.62,2.97,0,0,9.39,0,0,1.18,0,6.32,0,0,3.5,2.18,5.84
 72-82,0,0,0,15.64,1.16,0,43.87,0,1.96,35.02,5.73,0,0.74,1.5,0,1.66,1.28,2.38,0,85.25,0,1.44,12.62,89.3,0,1.25,9.5,0,0,1.79,0,0,0,0,6.1,0,0.85,14.59,1.29,1.24
 84-94,0,0,0,14.25,1.47,0.73,36.96,0,2.82,16.61,1.79,0,0,5.88,2.43,1.9,1.73,0,0,94.43,0.67,4.25,28.09,79.44,0.94,2.06,3.51,0,0,6.63,0,0,1.35,0,2.2,0,0,13.66,0,2.03
 96-106,0,0,1.03,22,18.32,0,35.02,1.82,0.89,28.61,4.74,0,2.42,9.25,0.56,17.74,0.77,1.36,0,49.54,0,0.85,8.75,75.02,3.7,0,0.6,0,0,7.79,0.7,0,0.67,0,4.94,0.67,2.38,14.09,2.8,6.97
108-118,0,0,0,23.85,1.51,0.55,25.85,3.4,0.59,54.23,2.92,0,0,2.51,1.5,2.12,0,3.06,0,61.07,0,6.19,14.57,91.6,2.22,0.45,1.27,0,0,10.58,0,0,2.97,0,1.25,2.39,0,15.83,6.42,2.58
120,0,0,0,30.33,12.63,1.6,25.79,3.19,0,61.46,0,0,2.63,23.06,1.45,3.92,2.12,0,0,144.47,1.49,9,12.19,144.74,5.29,15.39,4.64,0,6.17,8.33,0,0,0,0,5.77,0,0,13.65,1.8,0
