stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,192.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,55.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.21,0,32.35,0,0,8.47,0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,96.45,8.94,0,0,39.94,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.91,23.83,3.17,1.45,0,0,2.16,0,0,0,0,0.9,0,0,0,0,7.29,0,0,0,97.11,3.38,3.5,0.93,0,0,10.38,4.32,0,0.81,6.08,29.41,0,0,0.98,0,0
 24-34,0,0,0,0,8.24,0,18.7,1,1.39,11.05,1.01,0,0,6.31,3.3,0,0.82,0.84,0,13.32,0,0,10.67,313.11,0.62,6.25,3.86,0,0,13.81,0,0,0,2.71,61.91,0,0,11.97,0,0.61
 36-46,0,0,0,0,13.15,0,26.14,1.43,0.87,28.07,0,0,0,2.4,1.02,0,0.91,0,0,20.8,0,0,7.91,314.26,0.58,3.94,0.72,0,0,10.52,0,2.77,0,0,80.18,0,0,12.12,0,0
 48-58,0.58,0,0,0.43,7.21,0,101.55,1.36,2.18,27.82,0,0,0,1.08,1.75,0,0,0,0,28.64,0,1.04,5.09,319.06,0,7.47,0.89,0,0,5.38,0,0.51,0,0,65.57,0,0,12.79,0,0.72
 60-70,0,0,0,0,5.03,0,192.59,0.65,0,54.2,0,0,0,6.77,0,0,0.63,0,0,28.28,0,0.81,0.77,264.29,1,6.03,0,0,0,1.49,0,0,0,0,54.58,0,0.9,4.54,0.73,1.67
 72-82,0,0,0,0,9.44,0,421.48,2.95,8.62,36.32,1.44,0,2.09,4.53,0,1.36,2.21,0,0,71.89,1,3.89,3.43,317.97,0,1.75,3.29,0,0,6.32,0,0,0,0,39.85,0,1.03,14.4,0.59,6.79
 84-94,0,0,0,0,9.69,0.57,348.08,1.47,3.23,63.95,4,0,1.5,11.31,5.14,1.77,6.86,1.37,2.81,81.86,1.21,0,11.05,245.19,2.26,9.81,0.63,0,0,16.71,0,0,0,0,13.12,2.88,2.57,6.15,2.94,3.76
 96-106,0,0,0,0,12.99,0,387.43,1.31,2.1,42.73,2.22,0,4.56,22.24,3.41,3.32,1.11,10.33,0,56.01,3.11,4.1,1.62,235.51,1.25,10.85,5.69,0,11.98,15.06,0,0,0,0,20.34,1.6,2.01,14.22,0,5.75
108-118,0,0,1.5,0,20.95,0.66,269.92,6.24,7.19,56.95,2.13,0,1.51,24.54,4.35,2.51,7.12,1.98,0,69.97,0.97,0,3.92,263.69,2.72,7.76,4.58,0,5.44,12.04,0,2.24,0,0,10.13,1.65,0,11.31,1.65,4.26
120,0,0,0,0,26.61,0,181.73,5.85,0,37.81,7.05,0,2.27,30.63,3.03,0,0,0,0,122.91,0,0,1.91,314.9,0,0,0,0,0,28.2,0,0,0,0,13.28,2.31,4.99,0,0,0
