stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.87,0,0,0,0,0,0,0,0,0,0
  7-9,268.5,0,0,75.45,0,0,0,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,65.6,807.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.05,0,1205.32,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.25,1197.39,0,0,109.13,0,0,1490.06,0,0,0,0,0,0,0
 14-21,0,0,61.07,165.82,31.46,380.26,0,4.01,0,0,0,101.58,9.12,0,0,3.13,0,52.71,0,0,8.22,90.11,365.76,0,0,155.91,0,3.89,31.94,0,11.66,982.56,0,0,0.87,0
 24-34,0,0,42.14,4.62,2.09,9.5,0,3.21,0,0,5.45,0,0,0,0,0.63,0,2.04,0.79,0,0,31.35,150.7,3.23,0.68,0,0,0,0,0,0.64,737.46,0,0,0.76,5.52
 36-46,16.91,0,14.46,0,0,0,0,14.1,0,0,22.71,0,0,0,1.81,0,0.8,10.59,0,0,1.69,38.91,175.19,0,0,0,3.1,0,0,2.59,0,965.98,0,0,0,0
 48-58,1.15,0,12.61,6.71,0,0,0,24.23,0,1.87,26.11,6.29,0,0,0,0,0,5.74,0.95,0.4,0.63,79.9,122.58,0,0,0,0,0,0,0,0,905.89,0,0,0,1.16
 60-70,0,0,0,0,1.42,0,0,34.73,0,0,19.32,36.17,0,5.1,0,0,0,1.57,0,0,0,36.93,46.84,0,0,0,5.04,0,0,0,0,640.58,0,0,5.69,0
 72-82,0,0,5.98,0,0,1.65,0,17.92,0,0,7.4,39.02,0,0,0,0,0,1.68,0.59,0,0,21.42,27.78,0,0,0,2.03,0,0,0,0,664.77,0,0,2.23,0
 84-94,0,0,11.34,0,0.69,0,0,12.93,0,0,9.67,68.83,0,0,0,0,0,7.07,0,0,1.23,26.02,55.37,0,0,0,1.28,0,0,0,0,513.06,0,2.93,0,0
 96-106,0,0,10.33,0,2.18,0,0,1.64,1.58,0,6.94,73.71,0,0,0,0,0,5.11,0,0,0,9.95,32.28,0,0,0,0,0,0,0,0,307.6,0,0,0,0
108-118,0,0,8.46,0,3.11,0,1.91,6.84,0,5.75,1.44,73.35,0,0,0,0,0,7.42,0,0,2.46,22.09,31.29,1.19,0,0,0,0,0,0,0,161,1.2,0.77,0,0
120,0,0,4.34,0,0,0,0,6.91,0,0,14.39,30.84,0,0,0,0,0,12.33,0,0,0,22.82,50.95,0,0,0,0,0,0,0,0,148.08,0,5.53,0,0
