stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0
  7-9,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,84.29,0,6.46,1.08,0.82,0,0,0
 24-34,2.2,0,0,0,0,1.35,0,0,88.58,0.65,7.53,0,13.16,0,0,0
 36-46,0,0.68,1.85,0,0.82,0,0,5.31,77.83,0,12.65,2.07,7.17,0,0,0
 48-58,0.86,2.7,0.53,0,0,4.77,0,1.82,91.07,0,8.85,0,1.25,0,0,0
 60-70,4.75,6.8,4.98,0,0,3.27,0,0,86.19,0,11.69,0,0,0,0,0
 72-82,0,14.21,21.31,0,1.25,0.71,0,0,137.46,0,4.17,0,0.65,0,0,0
 84-94,0,18.72,5.57,0,0,2.97,0.58,9.92,120.79,1.06,11.07,0,0,0.57,6.35,1.36
 96-106,0,16.28,10.27,0.67,0,1.72,0,0,122.03,0,4.04,0,0,0,0,0
108-118,0.74,7.34,0.68,0,0,2.89,0.88,0,183.16,0,2.65,0,0,0,0,0
120,0,7.15,9.7,0,0,4.58,0,7.1,109.91,0,0,0,0,0,9.87,0
