stage,blastomeres,endoderm,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.91,20.16,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.1,24.14,0,18.21,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,2.62
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
 36-46,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.55,0,0,0.39,0,0.58,0,0,0,0,0,0
 60-70,0,0,0.67,0,0,0,2.88,0.66,1.26,0,0,0,0,0,0
 72-82,0,0,0,0,1.99,0,2.81,0,0,0,0,0,0,1.94,0
 84-94,0,0,0,6.86,0,0,6.75,0,2.27,0,0,0,1.26,0,0
 96-106,0,0,0,3.25,0,0,1.58,0,5.25,0,7.5,0,0,0.74,0
108-118,0,0.74,0,0,0,1.75,2.79,0,2.32,0,0.91,0,0,0,0
120,0,0,0,0,0,0,31.66,0,0,0,0,0,0,0,0
