stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.01,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.85,1.02,49.87,12.57,0,0,0,1.67,0,0,0.92,1.12,9.5,0,0,0,3.24,36.87,0,2.48,82.87,0.95,0,4.52,0.82,0,0.81,0,0.94,2,1.38,15.17,0,0,0,0,0
 24-34,0,0.62,0,18.69,11.74,0,0.7,0,2.04,0,0,11.15,14.35,4.33,0,1.93,3.81,20.84,144.77,0,9.06,70.75,0,0,2.05,0,0,0,0,0,2.13,0.72,14.47,0,0,30.23,0,1.2
 36-46,0,0,0.98,4.83,8.64,0,0,1.34,5.51,0,0,3.03,2.56,1.44,0.71,0,0,31.44,156.98,2.71,7.74,63.03,0,0.91,0,0,1.69,0,0,0,5.2,0,11.21,0,0,86.41,0,10
 48-58,0,0,0,12.8,33.26,0,0,1.77,22.48,0,8.3,10.99,2.46,0,0.79,1.94,0.87,34.9,198.35,0,1.84,113.93,0.53,0,5.36,0,0,0.69,0,0,2.25,0,10.31,0,0,79.81,0,4.43
 60-70,0,0,1.05,23.9,324.95,0,0,0.8,16.39,0,0,10.74,9.58,1.41,0.63,1.42,4.06,2.57,284.58,9.43,2.7,39.19,0,0,1.7,0,2.53,0,0,0,3.3,0,6.12,0,1.31,68.22,0.64,4.18
 72-82,0.95,0,5.8,230.81,619.63,2.62,0,7.35,34.13,0,0,15.39,25.11,0,0,9.93,6.04,1.13,296.56,2.88,11.28,69.26,0,0,1.12,0,8.32,0,0,0,5.15,0,5.25,0,5.15,172.12,1.98,0
 84-94,2.42,0,6.12,214.47,353.57,0,2.2,1.95,19.34,0.64,0,10.92,14.71,2.4,7.59,19.26,1.83,4.54,192.47,12.73,5.56,50.47,0.9,0.7,1.37,0,1.39,6.21,2.8,0,3.27,0,9.7,0.57,4.19,129.76,3.19,8.03
 96-106,6.08,0,2.35,251.38,446.69,0,1.02,6.95,32.72,4.47,0,26.88,19.18,0,5.1,8.08,0.62,1.33,198.13,7.09,3.24,56.74,0,0,6.83,0,12.98,0,0.76,0,1.3,0,6.22,0,6.95,138.77,4.18,2.53
108-118,1.13,0,10.07,142.25,378.9,0.56,0.57,5.04,26.08,7.62,0,11.79,15.54,0.68,0,3.93,13.46,4.11,151.56,1.98,6.12,97.49,0.49,0,10.52,0,1.88,0,0,0,2.67,0,5.65,0,3.01,126.69,6.19,5.05
120,0,0,48.17,200.16,222.1,0,3.86,11.82,61.71,11.82,0,20.41,32.27,0,1.05,0,16.85,1.45,206.78,16.69,3.51,64.75,0,0,6.36,0,18.18,0,4.99,0,8.14,0,0,0,14.6,155.55,8.59,0
