stage,blastomeres,epidermis,immune,lateral_line,mesenchyme,mucous,neural,olfactory,slow_muscle,somites
  5-6,40.43,0,0,0,0,0,7.86,0,0,0
  7-9,0,0,0,0,0,0,16.09,0,0,0
 10-12,8.97,0,0,0,0,0,12.78,0,0,0
 14-21,0,0,0,0,0,0,0,0,15.01,4.84
 36-46,0,0.69,0,0,0,0,0,0,0,0
 48-58,0,2.04,0,0,0,0,11.18,0,0,0
 60-70,0,2.56,3.29,0,0,0,0,0,0,0
 72-82,0,0,5.86,0,0,0,0,0,0,0
 84-94,0,1.66,2.12,0,0,0.86,0,0,0,0
 96-106,0,1.02,5.53,0,0,0,4.5,0,0,0
108-118,0,1.12,11.79,0,2.51,0,0,0,0,0
120,0,5.23,7.42,2.29,0,0,0,1.31,0,0
