stage,blastomeres,erythrocytes,eye,fast_muscle,heart,mural_cell,neural,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,23.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.73,0,0,0,0
 14-21,0,0,0,0,0,0,1.67,0,0,0,0,0
 24-34,0,0,0,0,2.56,0,0,0,1.45,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.54,0,0,0
 48-58,0,0,0,0.63,0,0,0,0,0,0,0,0
 60-70,0,0,16.73,0.89,0,0,3.27,0,0,0,0,0
 72-82,0,0,9.3,0,0,5.07,0,0,0,0,0.6,0
 84-94,0,0,17.48,0.73,0,0,0,0,0,0,0,2.17
 96-106,0,2.68,17.04,0,0,0,0,0,0,0,0.58,0
108-118,0,4.03,10.15,0,0,0,0,0,0,2.27,0,0
120,0,0,19.76,0,0,0,0,0,0,0,0,0
