stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,387.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,383.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.24,0,4.55,0,0,0,45.49,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,217.83,0,0,0,73.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.67,0,5.03,0,0,0,79.95,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,452.54,24.07,0,0,165.27,0,38.89,0,24.38,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,10.82,1.81,0,13.07,0,0,0,4.86,1.03,0,0,0,0,0,0,0,0,4.43,0,0,1.8,118.24,0,0,0.93,17.3,0,0,13.3,0,0,15.93,36.95,0,0,1.89,0,5.77
 24-34,0,0,0,0,4.33,4.34,0,16.88,0,0,0,4.04,0,0,0,0,2,0,0.63,0,0,8.55,0,0,3.8,189.99,0.7,4.93,3.31,0,1.19,0,0,0,0.66,2.74,26.46,0,0,10.65,0,0
 36-46,0,0,0,0,1.69,2.51,0,30.21,0,0,0.58,13.57,0,0,1.51,0,0,1.91,0,0,0,18.47,0,0,4.7,207.18,0.97,1.47,0.57,0,1.38,0,2.14,0,0.56,0,50.27,0,0,1.51,0,1.44
 48-58,0,0,0,0,2.32,2.88,0,73.16,0.51,0.69,1.04,11.83,0.69,0,0.94,0,0,5.92,0,2.08,0.4,28.79,0.4,0.98,4.02,211.76,0,2.31,0.76,0,1.95,0,0,0,0,0,26.58,0,0,1.95,0,0.59
 60-70,0,0,0,0,5.94,1.2,0,93.01,0.9,0,0,18.3,0,0,0.69,0,0,1.16,0.77,0,0,23.26,0,0.98,5.55,201.54,0,0,0,0,0.62,0,0,0,0,0,31.19,0.84,1.68,2.51,0,3.74
 72-82,0,0,0,0,0.77,3.69,0,68.46,0,0,0,11.43,0,0,0.82,0,0,0,0,0,0,27.57,0,0.54,4.56,177.24,0,1.3,2.57,0,6.68,0,0,0.75,3.03,0,16.11,0.81,1.08,1.08,0,16.08
 84-94,0,0,0.81,0,5.97,7.5,0,73.81,0.79,0,2.09,11.71,3,0,0,1.39,3.16,0,0,0.6,0.68,26.82,0.86,0,4.87,117.64,1.3,0,2.23,0,19.73,0,0,0.67,0,0,1.58,0,0.88,2.74,0,0
 96-106,0,0,0,0,6.69,10.07,0,52.89,0.9,0,2.14,8.91,2.11,0,0,0.66,0,0,3.71,0,0.71,21.92,1.62,3.47,0.95,97.32,0,6.8,0.87,0,5.69,0,0,0,0,0,1.34,0,0,2.16,7.74,9.19
108-118,0,0,0,0,7.65,1.98,0.68,60.25,0.64,0.72,0,10.87,2.58,0,0,1.77,0,0,0,3.3,0,23.31,1.6,3.6,9.94,114.67,0.47,1.71,7.64,0,13.93,0,0,0,0,0,9.15,0,0,0.54,1.28,5.33
120,0,0,0,0,14.54,3.89,1.91,45.36,0,2.19,23.4,10.06,0,0,0,5.5,1.36,0,0,0,0,23.79,0,3.62,5.89,198.14,5.95,0,4.36,0,28.31,0,0,0,0,0,11.32,0,0,3.61,0,0
